,word
5564,dj
1741,djejsjs
120,dm
1172,dna
7644,dnd
5766,dochristmas
5619,dome
598,dont
5336,double
7021,down
146,drama
3150,drawing
4551,drink
2244,drive
1811,drop
5266,dslr
5886,dtac
5071,du
4785,dvd
4030,dysania
8180,e
8175,ea
637,eap
8100,eastern
5007,eat
7621,eatwith
5742,eb
428,ebay
928,ebm
439,ec
51,econ
4937,economics
2731,ed
6822,edm
3165,education
5672,ee
7685,eeba
5252,effective
4268,eg
4412,eggo
4205,eikkiwstory
749,eingeing
1636,el
3661,elective
7615,electromagnetic
5445,elt
411,em
612,emb
1209,ems
2144,en
1489,enemy
1873,eng
606,english
5074,environment
8258,error
7706,es
986,essay
3279,essence
6626,ete
6511,ethics
1171,eugenol
1518,eve
1345,eveandboy
2327,event
4008,everyday
8848,everything
1853,exam
5629,exchange
1772,exclusive
2270,exempt
7838,exercise
522,exo
6619,exon
6886,exp
7183,expeng
3897,expo
4587,extern
2134,eye
1839,f
8697,fa
6781,facbook
329,facebook
6966,factsaboutme
3738,faculty
5556,fail
7533,family
5857,far
1984,fast
3175,favor
40,fb
4885,fbbitec
7425,fbt
7503,fc
6231,fd
7178,featuring
2858,feeling
1467,festival
1323,fetishthailand
5053,ff
7532,fidelity
8493,file
4340,filmmy
3090,final
8653,first
3170,firstjobber
1551,firstpicofmycameratoday
6467,fitness
3335,fix
4457,fl
1369,flick
3186,flukepnp
4049,fn
8316,fob
6192,focus
7009,folk
8171,folksong
8735,follow
3016,follower
5527,follows
3477,food
2014,for
6298,form
3526,foucault
6726,found
3960,foundation
148,foxing
55,fr
4645,free
7225,freshmenquestion
7382,freshy
5426,freshygames
2588,friend
7391,friends
5482,friendship
4170,friendzone
876,from
7444,fuji
93,function
4372,fundcom
930,funfact
7369,future
9065,futureparkrangsit
215,fwb
1130,fx
6461,galatio
1254,game
5951,gamer
7049,games
5700,gat
2272,gb
4055,ged
2114,gedgegprs
2900,gems
6892,gen
7642,gena
2660,genchem
3611,gender
6164,gened
4827,generation
6287,gengenetics
1980,germany
1629,get
5015,gg
8209,ghibli
8638,gift
2421,gigihadid
419,glowfish
7265,gm
1945,gmat
4634,go
9118,goingoncloud
7418,gold
5603,golf
7088,good
1852,goodbye
4353,goodnight
4545,google
3390,gps
657,grab
4032,graduate
60,grain
8988,grand
9086,graph
3965,green
8133,griano
8233,grip
6262,grouponeintothejungle
5521,gta
7590,gu
1411,gun
4058,gyoza
3230,hahahahahahah
1804,hall
2626,hallo
8126,happened
381,happening
2882,harajuku
4514,harry
3872,harshtruth
5692,has
7318,hashtag
524,havaianas
3940,have
4273,hbd
3074,hcg
1469,hcugugu
1127,health
5890,healthy
2462,hec
2615,helll
855,help
5132,hi
8791,hide
3024,high
4805,higher
3179,highschool
2746,hihi
6545,hiphop
6637,history
4859,hiv
9073,hjkoiiitest
4378,hlth
9097,ho
2686,holaaaaa
7899,holster
5094,home
2118,homesick
6318,hopestory
5882,hostel
2666,hotto
8315,house
6597,how
6194,howto
2965,howtobehealthy
5533,hr
7029,hs
6593,hug
2907,human
5425,humanrelation
8356,hwpd
4847,hx
4033,hyperbole
2946,hz
4436,i
6158,icare
1948,iceberg
7888,icepadie
643,id
3559,idea
4908,ideal
1877,identity
8744,identityv
1986,ideo
1185,ielts
8939,ig
4824,ignite
3344,ihouse
3610,ii
3759,ikea
3494,illustrator
6732,ilustrator
5989,immunodiffusion
2132,in
5534,inbox
5196,inda
2200,indesign
3801,infor
5133,innisfree
5390,innocent
2926,inspiration
4792,instagram
8985,instrument
517,intanianews
6102,integratedmath
7570,inter
3022,international
1670,internet
838,interpark
8061,interparkcitypark
5405,interpolate
7639,into
5907,intro
3787,introduction
4449,introspection
3631,ios
4404,ip
8265,ipad
6470,iphone
272,iphones
7099,ipsa
8938,ir
6519,is
3222,isc
3853,isfeelingsad
6550,it
7291,itfeelstory
6364,its
4749,itune
6135,iup
1047,iwatch
1358,j
1154,ja
6774,jaaa
4722,jaabhamu
7698,jajajaree
5316,jc
7587,jcas
3880,jccinema
6206,jcphotography
232,jesuismessy
5830,jewelry
4313,jj
3171,joox
3038,jp
8073,jpark
6260,kangdaniel
453,kayaking
3137,kbank
6689,kbps
3435,kcon
6363,keep
2473,kenneth
53,key
7331,keyboard
6734,kfc
8314,khalid
7097,kill
7376,kiss
842,kiwin
3094,kmitl
1593,kmutt
2638,know
5119,knowledge
2457,ko
3141,kodaline
3560,koi
6509,korea
7370,korean
4806,kpop
6348,krisada
5160,krum
459,ktb
1132,ku
326,kuexite
4046,kuwin
4725,l
3569,la
4795,lab
3772,lan
5436,land
6528,language
4413,lany
3752,late
6259,law
3622,lawchula
3825,lawson
1200,lc
849,lcd
4597,lcis
1213,lean
4069,lect
4052,lecture
7155,lecturer
4471,lecturexzon
1349,led
1829,leo
8505,let
1344,letters
8861,level
5851,liberal
2231,life
452,lindis
150,line
268,linetipqucs
2799,lingkongolf
3524,linguistic
2070,link
6914,lipta
5403,listeningspeaking
1075,living
8177,lo
2878,locked
5375,loftloft
3673,logic
3802,lol
946,lonelyplanet
3522,long
7355,loser
1705,love
5363,low
7845,lox
982,lt
8893,luck
2008,luckcrtan
3486,lv
258,lw
8095,lyn
860,lynx
6265,lyric
172,m
8345,ma
1575,mac
2918,macbook
6320,magnet
2685,magnum
2372,mahanakorn
3583,mahidol
444,main
5725,mamuangscoolfact
123,man
1830,management
1181,manso
281,manu
3635,mapinknherblue
1301,marketing
3954,marshamoon
7310,marvel
6110,mask
7850,math
623,max
4242,maya
5191,maystory
2962,mbk
870,mbps
8465,mc
5650,mcdonald
8122,mcthammasat
3621,mctu
4213,mdf
6023,me
8307,mean
2771,med
4253,media
3310,medtech
8446,meeeeeeeee
621,meet
2903,mega
1015,megaman
7613,meiosis
4389,mellyjung
2735,melon
7365,memer
4946,mendes
2330,merry
6759,message
8031,messenge
297,method
3520,mfu
5683,mhee
4507,micky
8860,mid
8770,midterm
1415,midtermcrisis
969,midtermcry
618,mildcoffee
8834,minecraft
2247,mircroecon
6141,mirrorless
2654,misch
369,mk
8721,mkfinal
760,mkt
1003,mlkcontent
4288,mode
3680,modern
5043,moment
8487,mon
6382,monopoly
4258,moodle
3993,mooktanyaa
7739,moontothesun
3450,more
2634,moremoreshopp
8592,morning
5210,mountain
8442,mountrin
5550,mrt
6084,mt
2237,mu
5334,much
6855,muesli
753,muic
7854,muji
8078,music
7026,must
2045,mute
282,my
780,myfeeling
225,myosotis
5764,myself
3072,na
5836,nail
7820,nap
3570,nation
7237,natural
6701,nc
8558,nct
3740,near
3255,neoybyn
7902,net
501,netflix
4667,ngv
8783,night
3300,nike
4204,nmd
363,nobuna
8143,noc
6443,norm
4930,not
3879,note
6661,noti
8835,notifi
8894,notification
398,novelty
7727,now
8519,nox
6887,ns
6688,nugirl
3293,number
6729,numerical
679,nun
1126,oasis
1569,obike
8541,oeg
871,of
57,officially
681,ofo
7780,oh
2419,old
1888,om
6191,one
7463,oneday
7240,onedaywith
1018,onefactaboutme
9142,online
7181,only
4267,oo
3599,open
3660,openbook
8415,openhouse
2429,oph
4633,or
0,orlando
3510,orzstory
8977,other
3696,otp
2920,our
7624,outdoor
7955,outline
8372,over
5458,overviw
6039,overwatch
5738,p
6059,pablo
7214,pacamara
8969,package
2994,page
8452,pandora
8251,panther
7879,pantip
5618,pantone
3267,park
2395,part
142,partner
8125,parttime
3881,party
5136,passport
7471,past
118,pat
2122,pattypattarintunews
6163,pb
7,pbic
4640,pdf
2844,pe
4846,pecil
865,people
2695,percussion
2983,perfect
7293,personnel
7182,peter
3294,ph
3289,phase
874,phich
652,philophobia
379,philosophy
5447,phone
8161,phonetics
1326,photo
6340,photolab
918,photoshop
8222,phy
5366,physics
7092,physio
4522,piakpoonthebunny
1604,pick
7584,pin
8224,pinkmoon
6554,pitch
2023,place
2208,plan
2004,play
5736,playlist
32,playroom
2668,plaza
1160,plc
5887,please
3659,pleaseeee
3078,pleaseeeeeeee
2794,pls
7769,plssss
4223,plum
2025,plus
227,plutoisme
3086,plz
5178,pm
2299,pn
8433,pnru
4328,po
82,point
160,polloftheday
216,pollzon
4167,pollzonmidterm
117,polycat
5489,ponggg
8273,pongsapak
5706,poohbear
4349,pool
4656,pork
3858,port
4593,portfolio
1035,position
5953,post
8706,poster
866,potato
6067,potiono
3263,potter
1165,power
8050,powerpoint
6024,ppap
1866,ppinkqx
5230,ppoomtpc
9071,pr
3327,precamp
4203,prefer
1613,premiere
8601,present
9170,presentation
7834,prince
8709,print
7514,prix
670,pro
2874,produce
7508,programmer
7236,project
7835,proposal
1000,protection
8996,pruekv
4386,ps
7387,psmtu
3240,psychology
5464,pt
2226,ptodarae
2398,pub
1265,pubg
1009,pubmed
4951,pump
1210,purpose
4266,purse
2500,py
6926,pypy
5791,q
7064,qr
7410,quiz
6559,quotes
288,r
3682,raisains
9162,raisin
869,ramkamhang
430,ramkhamhang
4027,rb
4470,reading
1563,reasons
970,recommendation
8509,refer
6013,reg
7572,regtu
4192,reintroduce
1029,rela
7334,relations
5625,relationships
1090,religion
165,renew
1566,reply
7802,report
5278,request
4231,restart
8056,resterday
8683,reviewgened
3817,rich
3472,richythailand
4604,ripchester
4990,river
4111,rooftop
6189,roots
9157,ror
3814,router
2936,rov
8642,royal
2886,rs
9014,rt
1697,russian
5256,s
3216,sa
2822,sad
9063,safe
7312,safezone
4855,saisawathtoetamvai
763,sakon
5940,saradeetoday
9091,sat
1870,sathorn
5909,saver
4751,say
1786,sc
2212,scg
4520,school
2494,sci
4371,scjc
7605,scl
5585,scotlandhogwarts
6512,scott
4874,scxxx
6761,sea
3601,searching
4347,seas
736,sec
4217,secs
3864,section
8198,self
4419,selfesteem
5392,send
7421,sephora
7197,serial
6888,serious
4216,serum
1662,set
3332,sex
2035,sexy
3721,shabu
6990,shater
6333,sheet
8953,shinkanzen
786,shiseido
8534,shop
6705,shopee
6842,shots
6241,showbookingcom
128,shu
1767,shutle
5945,shuttel
5080,shutter
5443,shuttle
8945,shuttlebus
5855,si
6800,siamzone
5826,sick
4493,side
1665,signature
4605,siit
6907,sim
3961,simon
6089,simple
756,sims
3199,singazon
8626,singumtu
367,siri
6415,sit
2532,sithangsookdamrong
1116,size
1016,skincare
6659,skip
6474,skydome
7108,skyview
4468,sleep
8919,slot
7983,smart
3508,smoremiumakeup
3848,smormiumakeup
37,smtu
6671,smule
1723,sn
4966,snap
3923,sneakavilla
6274,snow
7531,so
3249,soc
919,soccul
7220,sodiumpotassium
6000,sogood
1010,solar
6232,solitude
6590,something
5129,song
6244,songs
6142,sony
3120,sotus
6772,soul
2568,sound
6034,soundcloud
1314,special
811,spelling
8219,splugy
3400,spotify
6482,spst
1621,ss
3859,ssc
5522,st
3850,stadium
3097,staff
6099,stand
4821,star
102,starbucks
4006,stardew
4236,startup
2338,stat
64,statt
362,steam
7329,stem
1782,still
6646,stokes
5567,store
7961,storetunews
1406,story
6833,storylog
3281,stronggg
3937,structuree
5885,student
1722,studio
8360,suffer
3550,summer
826,sunrise
8757,sunset
6717,sunta
1537,super
1516,superbluebloodmoon
6246,superzoom
4211,supply
8984,supporting
4099,supreme
7439,survivor
5861,sw
3128,sweetduck
6565,swensen
5643,swift
8067,swype
5628,symphony
3644,t
6156,ta
3832,talk
3029,tama
3277,task
3444,tattoo
4095,taxi
8385,tcas
3724,tctc
5638,teamchula
8435,teamthammasat
4938,teddy
662,tedt
2508,telannas
6851,ten
7702,tep
2948,tepe
3231,teptepe
2224,teraoka
119,terrace
3478,textbook
3123,th
8968,thai
5840,thaicom
4628,thailand
1824,thammasat
8434,thaprachanant
5131,the
6406,thecm
8884,thegifted
3695,theme
4924,thesis
3693,through
49,throw
5020,thru
8518,thx
9047,tii
8797,time
3568,tinder
3574,tint
3405,to
5338,toeic
3482,tom
7332,toner
583,tontun
1023,too
4734,top
8371,topik
1851,tops
2604,tot
7164,touch
5983,tour
7588,town
5848,toyota
3605,tpcnews
3979,trans
2360,translate
2059,travel
2077,triam
6288,triple
5005,true
8531,tsu
3413,tt
3491,ttfinals
1894,tu
8038,tuband
8812,tucl
7752,tucouncil
1076,tucuteboy
9129,tudiary
8609,tudio
1252,tudome
1715,tufolksong
533,tuget
2560,tumc
5620,tunew
7971,tunews
2209,tupicnow
4243,tuquiz
6755,tusexyboy
1932,tusosa
7736,tustar
745,tutorzon
2158,tutu
6909,tutv
7135,tuzonstyle
3670,twin
3809,twintown
5865,twitter
6968,twstndsjsskswkwkeekeiekedddddddkekeeekdkdddmmkemeekekeekeedmdememmememe
4090,twt
3152,tydmmm
1885,type
2389,u
2463,uber
7440,udom
2038,uhouse
8712,umai
1720,undercut
5733,understatement
5339,university
8018,unsend
8389,up
3286,updated
2446,usa
7598,usb
4144,user
702,username
8286,usher
2679,usquare
4166,ustore
751,uu
6739,uuuuuuuuuuu
3519,va
2393,valley
5831,vanda
4219,varn
7464,vat
6563,vataniti
4071,velvet
2094,venom
7072,viafahoop
2058,victim
5752,video
2804,vidha
6953,vidyamaleaw
91,view
5024,vines
5228,vip
2741,visa
4410,vitsanookrontua
4753,viu
8204,vivo
6278,vivobook
1202,vjfhgc
2438,vkp
6844,voice
6747,voiceguys
2229,vs
531,w
5580,wake
7018,wanna
5867,wannable
106,wannaone
7721,want
2300,wanttt
1044,warehouse
6578,warntorforever
4199,warp
6675,warpchulalongkorn
2678,warpkasetsart
3785,wash
6971,wat
4447,watch
1280,water
2295,waterzonic
1215,watson
6533,wax
443,way
8178,web
6313,week
6750,weeknddd
7868,werewolf
7829,westgate
2162,what
9134,whats
5300,wheel
8485,wheels
2022,why
992,wifi
8016,will
315,win
1340,window
3314,winner
8436,wireless
8782,wootybell
2845,wordpowerpoint
7468,work
1184,workinglife
5599,world
2160,would
4113,wow
6243,writing
8748,wtf
5139,wwoofer
5934,wwwkingramath
6702,xa
5155,xl
1481,xmas
8336,xoxo
6017,xs
8907,xt
5501,xxx
5872,yaoi
514,yatask
1657,yeezy
3060,yell
6083,yello
8227,yellow
2322,yellowtalk
3409,yelo
3297,yes
3119,yoryorstory
1206,you
8139,youtube
648,ysl
7995,yy
1487,zamzon
4056,zico
2036,zlatan
7910,zon
7863,zoncu
349,zone
6392,zonetu
3399,zonnnnnn
4406,zonofthebitch
7280,zontu
1128,zytec
5013,zz
7465,กก
8618,กขน
2636,กค
861,กง
7344,กซ์
4810,กฎ
2,กฎหมาย
3692,กฎเกณฑ์
6196,กฏ
2573,กดดัน
7490,กดปุ่ม
3959,กดหัว
2999,กท
6632,กทม
4728,กน
6496,กนก
7543,กบ
3046,กปิ
9002,กพส
4813,กฟดกสดสฟฟสดสกสห
834,กม
6852,กยศ
8130,กร
7816,กรก
1987,กรกฎาคม
5839,กรง
1996,กรณี
6804,กรน
8866,กรม
7149,กรมท่า
1936,กรมสุขภาพจิต
3861,กรร
645,กรรณิการ์
2275,กรรม
6728,กรรมการ
2683,กรรมตามสนอง
7579,กรรไกร
7199,กรอ
3158,กรอบ
7818,กระ
1863,กระจก
5944,กระจกหลัง
5140,กระจง
6218,กระจับ
7037,กระฉูด
4345,กระชุ่มกระชวย
1536,กระดาษ
6836,กระดิ่ง
627,กระดุม
5181,กระดูก
5220,กระติก
1176,กระติกน้ำร้อน
1683,กระตุก
5056,กระต่าย
3261,กระถาง
3826,กระทรวง
3124,กระทรวงกลาโหม
789,กระทรวงมหาดไทย
4171,กระทะ
631,กระทา
5011,กระทิง
5032,กระทืบ
5335,กระทุ่ม
1546,กระทู้ถาม
9165,กระบวน
8290,กระบวนการ
1425,กระบองเพชร
101,กระบี่
3674,กระป๋อง
3007,กระผม
7011,กระพริบตา
3777,กระลา
5477,กระวนกระวาย
479,กระสือ
1417,กระหาย
5849,กระเซอะกระเซิง
6567,กระเซ็น
5825,กระเด็น
7782,กระเทียม
8942,กระเป๋า
4081,กระเป๋าสะพาย
2066,กระเพาะ
5624,กระเพาะปลา
5189,กระเพาะอาหาร
6999,กระแดะ
6577,กระแส
3041,กระโปรง
5918,กรัก
5045,กรัง
5069,กราด
6575,กราน
8909,กราบ
496,กราบพระ
7446,กราบลา
7263,กราฟ
8429,กราฟฟิก
3598,กราม
2929,กริบ
2944,กริ๊ส
6290,กรีด
1880,กรีดร้อง
7622,กรีน
8456,กรี๊ด
6623,กรี๊ส
4500,กรุก
3523,กรุง
1680,กรุงธน
650,กรุงเทพมหานคร
8784,กรุงเทพฯ
9161,กรุงไทย
8074,กรุบ
5792,กรุ๊ป
8527,กร่อย
8097,กร่าง
1321,กร้อ
6354,กร้าน
1557,กฤช
709,กฤษฎา
6877,กล
8858,กลบ
5879,กลอง
317,กลอน
6255,กลัดกระดุม
7550,กลับ
7215,กลับด้าน
1073,กลับบ้าน
8880,กลับเป็น
2362,กลั้น
3662,กลั้นใจ
7415,กลา
323,กลางคน
2325,กลางคัน
9053,กลางคืน
266,กลางวัน
7109,กลางเดือน
1929,กลางเมือง
8363,กลางแดด
7830,กลาด
713,กลาโหม
1999,กลิ่น
3656,กลืน
5554,กลืนน้ำลาย
504,กลืนน้ำลายตัวเอง
2961,กลุ่ม
3671,กลุ่มคน
5360,กลุ่มทำงาน
4619,กลูต้า
5355,กล่อง
6894,กล่อม
7162,กล้ว
3071,กล้วย
5724,กล้วยน้ำว้า
1488,กล้อง
3005,กล้องถ่ายรูป
4496,กล้าม
5229,กล้ามเนื้อ
1137,กวง
8230,กวนประสาท
5085,กวนใจ
7430,กวัด
7364,กวาง
1612,กวิน
451,กวิ้น
6211,กว้างใหญ่
8244,กษัตริย์
2934,กสสดส
7929,กสิ
884,กสิกร
89,กส์
9074,กห
2487,กฬ
6407,กอ
8253,กอง
1458,กองกลาง
4130,กองทัพ
5386,กองทัพเรือ
5856,กองบัญชาการ
1644,กองมรดก
2723,กอด
6811,กอล์ฟ
83,กะ
1736,กะดี
127,กะทะ
7077,กะทันหัน
4882,กะปิ
8495,กะละมัง
820,กะลา
2184,กะล่อน
6733,กะหรี่
8955,กะเทย
5878,กั
2642,กัง
6569,กังวล
2154,กังวลใจ
7436,กัญ
7953,กัญชา
3205,กัดฟัน
1424,กันต์
905,กันที่
4974,กันท่า
5301,กันน้ำ
6678,กันผม
6499,กันลง
1479,กันแดด
5028,กับข้าว
6919,กับแกล้ม
1926,กัปตัน
8959,กัย
7275,กัล
151,กัลยา
2441,กัลเอาะ
1890,กัว
6365,กั้ง
2164,กั๊ก
934,กา
4740,กาก
4427,กากน้ำตาล
4469,กาง
6096,กางร่ม
1466,กางเกง
8944,กางเกงขายาว
1796,กางเกงขาสั้น
7107,กางเกงยีน
4249,กาญจนบุรี
5061,กาน
5111,กานน
6641,กานพลู
7638,กาย
8430,กายภาพ
7120,กายภาพบำบัด
2870,การกระทำ
7507,การขนส่ง
5186,การขับขี่
7239,การคบ
6735,การคุย
6923,การค้า
8365,การงาน
4121,การจราจร
8164,การซ้อม
145,การณ์
8013,การดอง
3672,การตลาด
4329,การตอบแทน
7858,การตัดสินใจ
5073,การทดลอง
8658,การทะเลาะ
354,การทำงาน
7742,การท่องจำ
6985,การท่องเที่ยว
8567,การนำ
3688,การบ้าน
3588,การปรับตัว
20,การปะทะ
2411,การปิดกั้น
1666,การผลิต
6235,การฝืน
8179,การพัฒนา
2647,การพิสูจน์
6369,การยืม
7375,การระงับ
3082,การรักษา
793,การลงทุน
5651,การลอก
7537,การศึกษา
1428,การสอน
4245,การอนุมาน
5563,การอยู่รอด
5610,การออกกำลังกาย
2525,การเขียน
7944,การเงิน
3487,การเดินเรือ
6514,การเมือง
8443,การเรียน
1732,การเรียนรู้
4623,การแพทย์
7822,การแสดง
7116,การแห่
6282,การแอบ
7412,การโกง
8121,การใช้งาน
2831,การไฟฟ้า
2085,การ์ด
2866,การ์ตูน
6487,กาล
4142,กาว
5737,กาฬสินธุ์
5821,กาแฟ
4709,กาแฟเย็น
2392,กำ
5570,กำลังกาย
1068,กำลังดี
7606,กำลังผลิต
5739,กำลังใจ
1351,กำหนดการ
5930,กำเริบ
5954,กำแพง
347,กำแพงเพชร
2733,กำไล
3181,กิ
7999,กิกิ
6378,กิง
2801,กิงง
3432,กิจ
7371,กิจกรรม
6866,กิจการ
6757,กิจวัตร
5418,กิจวัตรประจำวัน
8026,กิต
1335,กินกัน
1688,กินข้าว
795,กินดีอยู่ดี
4787,กินที่
1269,กินนอน
5906,กินรี
1156,กินแถว
8079,กิโกะ
894,กิโล
5326,กิ่ง
8461,กิ่น
5828,กิ้ว
4105,กิ๊ก
3430,กิ๊บ
18,กี
7825,กีตาร์
6433,กีต้าร์
3092,กีฬา
5835,กีฬาทางน้ำ
2518,กี้
6574,กี๊
1667,กึ่งกลาง
8937,กึ้ก
5273,กึ้ง
1860,กุ
4022,กุก
3030,กุญแจ
6819,กุด
1149,กุมภ
1223,กุมภา
2955,กุมภาพันธ์
8323,กุหลาบ
433,กุ้ง
7051,กุ้งเต้น
1834,กุ้งแช่น้ำปลา
2081,กู
4332,กูบ
1146,กูเกิล
5722,กู้
9050,กู๊ส
2119,ก็ช่าง
3251,ก็เพราะว่า
7453,ก็แล้วกัน
8329,ก็แล้วแต่
7813,ก่
6502,ก่ด
6788,ก่อ
5788,ก่อง
6105,ก่อนหน้านี้
1274,ก่อนอื่น
2776,ก่อนเวลา
708,ก่า
6980,ก้
5197,ก้กด
1432,ก้คง
2093,ก้น
3633,ก้ม
8760,ก้อ
260,ก้อน
3325,ก้อนหิน
4818,ก้ะ
6818,ก้า
7114,ก้าย
1264,ก้าวก่าย
6479,ก้าวไกล
1751,ก้าเรน
6095,ก้ำ
1324,ก้ำกึ่ง
3349,ก๊อก
622,ก๊อกแก๊ก
608,ก๊อน
3069,ก๊าซคาร์บอนไดออกไซด์
5262,ก๋วยจั๊บ
5772,ก๋วยเตี๋ยว
7527,ขก
6883,ขกตบ
2109,ขกว้วย
7626,ขขวก
149,ขดตัว
3939,ขน
4719,ขนของ
7190,ขนม
799,ขนมจาก
9117,ขนมจีน
1610,ขนมจีบ
676,ขนมปัง
3886,ขนมหวาน
3517,ขนมเบื้อง
5588,ขนรักแร้
7338,ขนสัตว์
1250,ขนส่ง
2509,ขนาด
6341,ขนาดที่
1057,ขนาดเล็ก
2896,ขนาดใหญ่
8569,ขนุน
4601,ขนแมว
1305,ขบวน
8573,ขม
5105,ขยะ
5691,ขยายเวลา
2054,ขยี้
7618,ขรรม
3829,ขรั่บ
6098,ขร้ะ
3109,ขลิบ
591,ขวด
2557,ขวบ
1088,ขวัญ
3735,ขวัญใจ
3026,ขวา
1825,ขวางหน้า
8806,ขวางหูขวางตา
7692,ขวามือ
8501,ขว้าง
7454,ขอ
656,ขอก
2012,ขอความกรุณา
1689,ขอความช่วยเหลือ
1600,ขอความเห็น
6719,ขอคืนดี
4208,ของกิน
1935,ของขวัญ
2379,ของขึ้น
5441,ของคาว
6927,ของจริง
8825,ของดี
5686,ของฝาก
3386,ของฟุ่มเฟือย
6351,ของมีคม
2142,ของร้อน
7117,ของวัด
2234,ของสด
1511,ของหวาน
7777,ของเก่า
5225,ของเล่น
4150,ของเหลว
4939,ของแท้
3336,ของใช้
3062,ของไหล
3475,ขอทาง
41,ขอที
2354,ขอนแก่น
6809,ขอบ
9109,ขอบตา
6573,ขอบเขต
6720,ขอพร
8010,ขอยืม
3329,ขอรับ
7224,ขอร้อง
5710,ขอลา
1101,ขออนุญาต
2852,ขออภัย
507,ขอเวลา
893,ขอแรง
3866,ขอโทษ
4843,ขะ
8348,ขัดตา
4868,ขัดหู
6490,ขัดใจ
5120,ขัน
3716,ขับรถ
1318,ขับร้อง
7100,ขั่บ
572,ขั้นตอน
4580,ขั้นต่ำ
7954,ขั้นบันได
2997,ขา
8631,ขากรรไกร
4592,ขากลับ
7974,ขาดความมั่นใจ
5272,ขาดเรียน
