Stopword,label
ดั่งกับว่า,
ดังเก่า,
ดั่งเก่า,
ดังเคย,
ใด,1
ได้,1
ได้แก่,1
ได้แต่,1
ได้ที่,1
ได้มา,1
ได้รับ,1
ตน,1
ตนเอง,1
ตนฯ,1
ตรง,1
ตรงๆ,1
ตลอด,1
ตลอดกาล,1
ตลอดกาลนาน,1
ตลอดจน,
ตลอดถึง,
ตลอดทั้ง,
ตลอดทั่ว,
ตลอดทั่วถึง,
ตลอดทั่วทั้ง,
ตลอดปี,1
ตลอดไป,
ตลอดมา,
ตลอดระยะเวลา,1
ตลอดวัน,1
ตลอดเวลา,1
ตลอดศก,1
ต่อ,1
ต่อกัน,1
ถึงแก่,1
ถึงจะ,
ถึงบัดนั้น,1
ถึงบัดนี้,1
ถึงเมื่อ,
ถึงเมื่อใด,1
ถึงเมื่อไร,1
ถึงแม้,
ถึงแม้จะ,
ถึงแม้ว่า,
ถึงอย่างไร,
ถือ,1
ถือว่า,1
ถูกต้อง,1
ถูกๆ,1
เถอะ,
เถิด,
ทรง,1
ทว่า,1
ทั้งคน,1
ทั้งตัว,1
ทั้งที,1
ทั้งที่,1
ทั้งนั้น,
ทั้งนั้นด้วย,
ทั้งนั้นเพราะ,
นอก,1
นอกจากที่,
นอกจากนั้น,
นอกจากนี้,
นอกจากว่า,
นอกนั้น,
นอกเหนือ,
นอกเหนือจาก,
น้อย,1
น้อยกว่า,1
น้อยๆ,1
นะ,
น่ะ,
นักๆ,
นั่น,
นั่นไง,
นั่นเป็น,
นั่นแหละ,
นั่นเอง,
นั้นๆ,
นับ,1
นับจากนั้น,1
นับจากนี้,1
นับตั้งแต่,1
นับแต่,1
นับแต่ที่,1
นับแต่นั้น,1
เป็นต้น,
เป็นต้นไป,
เป็นต้นมา,
เป็นแต่,
เป็นแต่เพียง,
เป็นที,
เป็นที่,
เป็นที่สุด,1
เป็นเพราะ,
เป็นเพราะว่า,
เป็นเพียง,
เป็นเพียงว่า,
เป็นเพื่อ,
เป็นอัน,
เป็นอันมาก,
เป็นอันว่า,
เป็นอาทิ,
เป็นๆ,1
เปลี่ยน,1
เปลี่ยนแปลง,1
เปิด,1
เปิดเผย,1
ไป่,
ผ่าน,1
ผ่านๆ,1
ผิด,1
ผิดๆ,1
ผู้,
เพียงเพื่อ,
เพียงไร,1
เพียงไหน,1
เพื่อที่,
เพื่อที่จะ,
เพื่อว่า,
เพื่อให้,
ภาค,1
ภาคฯ,1
ภาย,1
ภายใต้,1
ภายนอก,1
ภายใน,1
ภายภาค,
ภายภาคหน้า,
ภายหน้า,
ภายหลัง,
มอง,1
มองว่า,1
มัก,1
มักจะ,1
มัน,1
มันๆ,1
มั้ย,1
มั้ยนะ,1
มั้ยนั่น,1
มั้ยเนี่ย,1
มั้ยล่ะ,1
ยืนนาน,1
ยืนยง,1
ยืนยัน,1
ยืนยาว,1
เยอะ,1
เยอะแยะ,1
เยอะๆ,1
แยะ,1
แยะๆ,1
รวด,1
รวดเร็ว,1
ร่วม,1
รวมกัน,1
ร่วมกัน,1
รวมด้วย,1
ร่วมด้วย,1
รวมถึง,1
รวมทั้ง,1
ร่วมมือ,1
ระยะ,1
ระหว่าง,1
รับรอง,1
รึ,1
รึว่า,1
รือ,1
รือว่า,1
สิ้นกาลนาน,1
สืบเนื่อง,1
สุด,1
สู่,
สูง,1
สูงกว่า,
สูงส่ง,1
สูงสุด,1
เสมือนกับ,1
เสมือนว่า,1
เสร็จ,1
เสร็จกัน,
เสร็จแล้ว,
เสร็จสมบูรณ์,
เสร็จสิ้น,
เสีย,1
เสียก่อน,
เสียจน,
เสียจนกระทั่ง,
เสียจนถึง,
เสียด้วย,
เสียนั่น,
เสียนั่นเอง,
เสียนี่,
เสียนี่กระไร,
เสียยิ่ง,
เสียยิ่งนัก,
เสียแล้ว,
ใหญ่ๆ,1
ให้ดี,1
ให้แด่,1
ให้ไป,1
ใหม่,1
ให้มา,1
ใหม่ๆ,1
ไหน,1
อดีต,1
อนึ่ง,
อย่าง,
อย่างเช่น,
อย่างดี,1
อย่างเดียว,
อย่างใด,1
อย่างที่,
อย่างน้อย,1
อย่างนั้น,
อย่างนี้,
อย่างโน้น,
ก็คือ,1
ก็แค่,1
ก็จะ,1
ก็ดี,1
ก็ได้,1
ก็ต่อเมื่อ,1
ก็ตาม,1
ก็ตามแต่,
ก็ตามที,1
ก็แล้วแต่,1
กระทั่ง,
กระทำ,1
กระนั้น,
กระผม,1
กลับ,1
กล่าวคือ,1
กลุ่ม,1
กลุ่มก้อน,
กลุ่มๆ,
กว้าง,1
กว้างขวาง,1
กว้างๆ,
ก่อนหน้า,1
ก่อนหน้านี้,1
ก่อนๆ,1
กันดีกว่า,1
กันดีไหม,1
กันเถอะ,1
กันนะ,1
กันและกัน,1
กันไหม,1
กันเอง,1
กำลัง,
กำลังจะ,
กำหนด,1
กู,1
เก็บ,1
เกิด,1
เกี่ยวข้อง,1
แก่,1
แก้ไข,1
ใกล้,1
ใกล้ๆ,1
ข้า,1
ข้าง,1
ข้างเคียง,1
ข้างต้น,
ข้างบน,1
ข้างล่าง,1
ข้างๆ,1
ขาด,1
ข้าพเจ้า,1
ข้าฯ,1
เข้าใจ,1
เขียน,1
คงจะ,
คงอยู่,
ครบ,1
ครบครัน,1
ครบถ้วน,1
ครั้งกระนั้น,1
ครั้งก่อน,1
ครั้งครา,
ครั้งคราว,
ครั้งใด,1
ครั้งที่,1
ครั้งนั้น,1
ครั้งนี้,1
ครั้งละ,1
ครั้งหนึ่ง,
ครั้งหลัง,
ครั้งหลังสุด,1
ครั้งไหน,1
ครั้งๆ,
ครัน,1
ครับ,
ครา,1
คราใด,1
คราที่,1
ครานั้น,
ครานี้,
คราหนึ่ง,
คราไหน,1
คราว,
คราวก่อน,
คราวใด,1
คราวที่,
คราวนั้น,
คราวนี้,
คราวโน้น,
คราวละ,
คราวหน้า,
คราวหนึ่ง,
คราวหลัง,
คราวไหน,1
คล้าย,1
คล้ายกัน,1
คล้ายกันกับ,1
คล้ายกับ,1
คล้ายกับว่า,1
คล้ายว่า,1
ควร,1
ค่อน,
ค่อนข้าง,1
ค่อนข้างจะ,1
ค่อยไปทาง,1
ค่อนมาทาง,1
ค่อย,1
ค่อยๆ,1
คะ,
ค่ะ,
คำ,
คิด,1
คิดว่า,1
คุณ,1
แค่,
แค่จะ,
แค่นั้น,
แค่นี้,
แค่เพียง,
แค่ว่า,
แค่ไหน,1
ใคร่,
ใคร่จะ,
ง่าย,1
ง่ายๆ,1
จนกว่า,
จนแม้,
จนแม้น,
จังๆ,
จวบกับ,
จวบจน,
จ้ะ,
จ๊ะ,
จะได้,
จัง,
จัดการ,1
จัดงาน,1
จัดแจง,1
จัดตั้ง,1
จัดทำ,1
จัดหา,1
จัดให้,1
จับ,1
จ้า,
จ๋า,
จากนั้น,1
จากนี้,1
จากนี้ไป,1
จำ,1
จำเป็น,1
จำพวก,
จึงจะ,
จึงเป็น,1
จู่ๆ,
ฉะนั้น,
ฉะนี้,
ฉัน,
เฉกเช่น,
เฉย,1
เฉยๆ,1
ไฉน,1
ช่วงก่อน,
ช่วงต่อไป,
ช่วงถัดไป,
ช่วงท้าย,
ช่วงที่,
ช่วงนั้น,
ช่วงนี้,
ช่วงระหว่าง,
ช่วงแรก,
ช่วงหน้า,
ช่วงหลัง,
ช่วงๆ,
ช่วย,
ช้า,1
ช้านาน,1
ชาว,
ช้าๆ,1
เช่นก่อน,
เช่นกัน,
เช่นเคย,
เช่นดัง,
เช่นดังก่อน,
เช่นดังเก่า,
เช่นดังที่,
เช่นดังว่า,
เช่นเดียวกัน,
เช่นเดียวกับ,
เช่นใด,
เช่นที่,
เช่นที่เคย,
เช่นที่ว่า,
เช่นนั้น,
เช่นนั้นเอง,
เช่นนี้,
เช่นเมื่อ,
เช่นไร,1
เชื่อ,1
เชื่อถือ,1
เชื่อมั่น,1
เชื่อว่า,1
ใช่,1
ใช่ไหม,1
ใช้,1
ซะ,
ซะก่อน,
ซะจน,
ซะจนกระทั่ง,
ซะจนถึง,
ซึ่งได้แก่,
ด้วยกัน,1
ด้วยเช่นกัน,1
ด้วยที่,
ด้วยเพราะ,
ด้วยว่า,
ด้วยเหตุที่,
ด้วยเหตุนั้น,
ด้วยเหตุนี้,
ด้วยเหตุเพราะ,
ด้วยเหตุว่า,
ด้วยเหมือนกัน,
ดังกล่าว,1
ดังกับว่า,1
ดั่งกับว่า,1
ดังเก่า,
ดั่งเก่า,
ดั่งเคย,
ต่างก็,
ต่างหาก,
ตามด้วย,
ตามแต่,
ตามที่,
ตามๆ,
เต็มไปด้วย,
เต็มไปหมด,
เต็มๆ,1
แต่ก็,
แต่ก่อน,
แต่จะ,
แต่เดิม,
แต่ต้อง,
แต่ถ้า,
แต่ทว่า,
แต่ที่,
แต่นั้น,
แต่เพียง,
แต่เมื่อ,
แต่ไร,
แต่ละ,
แต่ว่า,
แต่ไหน,
แต่อย่างใด,
โต,1
โตๆ,1
ใต้,1
ถ้าจะ,
ถ้าหาก,
ถึงแก่,
ถึงแม้,
ถึงแม้จะ,
ถึงแม้ว่า,
ถึงอย่างไร,
ถือว่า,
ถูกต้อง,1
ทว่า,
ทั้งนั้นด้วย,
ทั้งปวง,
ทั้งเป็น,
ทั้งมวล,
ทั้งสิ้น,
ทั้งหมด,1
ทั้งหลาย,1
ทั้งๆ,
ทัน,1
ทันใดนั้น,1
ทันที,1
ทันทีทันใด,1
ทั่ว,1
ทำไม,1
ทำไร,1
ทำให้,1
ทำๆ,
ที,
ที่จริง,1
ที่ซึ่ง,
ทีเดียว,
ทีใด,1
ที่ใด,1
ที่ได้,1
ทีเถอะ,
ที่แท้,
ที่แท้จริง,
ที่นั้น,
ที่นี้,
ทีไร,1
ทีละ,
ที่ละ,
ที่แล้ว,
ที่ว่า,
ที่แห่งนั้น,
ที่ไหน,1
ทีๆ,
ที่ๆ,
ทุกคน,1
ทุกครั้ง,1
ทุกครา,1
ทุกคราว,1
ทุกชิ้น,1
ทุกตัว,1
ทุกทาง,1
ทุกที,1
ทุกที่,1
ทุกเมื่อ,1
ทุกวัน,1
ทุกวันนี้,1
ทุกสิ่ง,1
ทุกหน,1
ทุกแห่ง,1
ทุกอย่าง,1
ทุกอัน,1
ทุกๆ,1
เท่า,
เท่ากัน,1
เท่ากับ,1
เท่าใด,1
เท่าที่,
เท่านั้น,
เท่านี้,
เท่าไร,1
เท่าไหร่,1
แท้,1
แท้จริง,1
เธอ,1
นอกจากว่า,
น้อย,1
น้อยกว่า,1
น้อยๆ,1
น่ะ,
นั้นไว,
นับแต่นี้,
นาง,1
นางสาว,1
น่าจะ,
นาน,1
นานๆ,1
นาย,1
นำ,1
นำพา,1
นำมา,1
นิด,1
นิดหน่อย,1
นิดๆ,1
นี่,
นี่ไง,
นี่นา,
นี่แน่ะ,
นี่แหละ,
นี้แหล่,
นี่เอง,
นี้เอง,
นู่น,
นู้น,
เน้น,
เนี่ย,1
เนี่ยเอง,
ในช่วง,
ในที่,
ในเมื่อ,
ในระหว่าง,
บน,1
บอก,1
บอกแล้ว,1
บอกว่า,1
บ่อย,1
บ่อยกว่า,1
บ่อยครั้ง,1
บ่อยๆ,1
บัดดล,1
บัดเดี๋ยวนี้,1
บัดนั้น,1
บัดนี้,1
บ้าง,1
บางกว่า,1
บางขณะ,1
บางครั้ง,1
บางครา,1
บางคราว,1
บางที,1
บางที่,1
บางแห่ง,1
บางๆ,1
ปฏิบัติ,1
ประกอบ,1
ประการ,1
ประการฉะนี้,
ประการใด,1
ประการหนึ่ง,
ประมาณ,1
ประสบ,1
ปรับ,1
ปรากฏ,1
ปรากฏว่า,1
ปัจจุบัน,1
ปิด,1
เป็นด้วย,1
เป็นดัง,
เป็นต้น,
เป็นแต่,
เป็นเพื่อ,
เป็นอัน,
เป็นอันมาก,
เป็นอาทิ,
ผ่านๆ,1
ผู้,1
ผู้ใด,1
เผื่อ,
เผื่อจะ,
เผื่อที่,
เผื่อว่า,
ฝ่าย,1
ฝ่ายใด,1
พบว่า,1
พยายาม,1
พร้อมกัน,1
พร้อมกับ,1
พร้อมด้วย,1
พร้อมทั้ง,1
พร้อมที่,1
พร้อมเพียง,1
พวก,1
พวกกัน,1
พวกกู,1
พวกแก,1
พวกเขา,1
พวกคุณ,1
พวกฉัน,1
พวกท่าน,1
พวกที่,1
พวกเธอ,1
พวกนั้น,1
พวกนี้,1
พวกนู้น,1
พวกโน้น,1
พวกมัน,1
พวกมึง,1
พอ,1
พอกัน,1
พอควร,1
พอจะ,1
พอดี,1
พอตัว,1
พอที,1
พอที่,1
พอเพียง,1
พอแล้ว,1
พอสม,1
พอสมควร,1
พอเหมาะ,1
พอๆ,1
พา,1
พึง,1
พึ่ง,1
พื้นๆ,1
พูด,1
เพราะฉะนั้น,
เพราะว่า,
เพิ่ง,
เพิ่งจะ,
เพิ่ม,1
เพิ่มเติม,
เพียง,
เพียงแค่,
เพียงใด,1
เพียงแต่,
เพียงพอ,
เพียงเพราะ,
เพื่อว่า,
เพื่อให้,
ภายใต้,
มองว่า,1
มั๊ย,1
มากกว่า,1
มากมาย,1
มิ,1
มิฉะนั้น,
มิใช่,1
มิได้,1
มีแต่,1
มึง,1
มุ่ง,1
มุ่งเน้น,1
มุ่งหมาย,1
เมื่อก่อน,1
เมื่อครั้ง,1
เมื่อครั้งก่อน,1
เมื่อคราวก่อน,1
เมื่อคราวที่,1
เมื่อคราว,1
เมื่อคืน,1
เมื่อเช้า,1
เมื่อใด,1
เมื่อนั้น,1
เมื่อนี้,1
เมื่อเย็น,1
เมื่อไร,1
เมื่อวันวาน,1
เมื่อวาน,1
เมื่อไหร่,1
แม้,
แม้กระทั่ง,
แม้แต่,
แม้นว่า,
แม้ว่า,
ไม่ค่อย,1
ไม่ค่อยจะ,1
ไม่ค่อยเป็น,1
ไม่ใช่,1
ไม่เป็นไร,1
ไม่ว่า,1
ยก,1
ยกให้,1
ยอม,1
ยอมรับ,1
ย่อม,
ย่อย,1
ยังคง,
ยังงั้น,
ยังงี้,
ยังโง้น,
ยังไง,1
ยังจะ,
ยังแต่,
ยาก,1
ยาว,1
ยาวนาน,1
ยิ่ง,
ยิ่งกว่า,1
ยิ่งขึ้น,1
ยิ่งขึ้นไป,1
ยิ่งจน,1
ยิ่งจะ,1
ยิ่งนัก,1
ยิ่งเมื่อ,1
ยิ่งแล้ว,1
ยิ่งใหญ่,1
ร่วมกัน,1
รวมด้วย,
ร่วมด้วย,
รือว่า,
เร็ว,1
เร็วๆ,1
เราๆ,1
เรียก,1
เรียบ,1
เรื่อย,1
เรื่อยๆ,1
ไร,1
ล้วน,
ล้วนจน,
ล้วนแต่,
ละ,
ล่าสุด,1
เล็ก,1
เล็กน้อย,1
เล็กๆ,1
เล่าว่า,1
แล้วกัน,
แล้วแต่,
แล้วเสร็จ,
วันใด,1
วันนั้น,
วันนี้,
วันไหน,1
สบาย,1
สมัย,
สมัยก่อน,1
สมัยนั้น,1
สมัยนี้,1
สมัยโน้น,1
ส่วนเกิน,1
ส่วนด้อย,1
ส่วนดี,1
ส่วนใด,1
ส่วนที่,
ส่วนน้อย,1
ส่วนนั้น,1
ส่วนมาก,1
ส่วนใหญ่,1
สั้น,1
สั้นๆ,1
สามารถ,1
สำคัญ,1
สิ่ง,
สิ่งใด,1
สิ่งนั้น,
สิ่งนี้,
สิ่งไหน,
สิ้น,
เสร็จแล้ว,
เสียด้วย,
เสียแล้ว,
แสดง,1
แสดงว่า,1
หน,
หนอ,
หนอย,
หน่อย,
หมด,1
หมดกัน,1
หมดสิ้น,1
หรือไง,1
หรือเปล่า,1
หรือไม่,1
หรือยัง,1
หรือไร,1
หากแม้,
หากแม้น,
หากแม้นว่า,
หากว่า,
หาความ,
หาใช่,
หารือ,1
เหตุ,1
เหตุผล,1
เหตุนั้น,
เหตุนี้,
เหตุไร,1
เห็นแก่,1
เห็นควร,1
เห็นจะ,
เห็นว่า,
เหลือ,1
เหลือเกิน,
เหล่า,
เหล่านั้น,1
เหล่านี้,1
แห่งใด,1
แห่งนั้น,1
แห่งนี้,1
แห่งโน้น,1
แห่งไหน,1
แหละ,
ให้แก่,1
ใหญ่,1
ใหญ่โต,1
อย่างเช่น,
อย่างดี,1
อย่างเดียว,1
อย่างใด,
อย่างที่,
อย่างน้อย,1
อย่างนั้น,
อย่างนี้,
อย่างโน้น,
อย่างมาก,1
อย่างยิ่ง,1
อย่างไร,1
อย่างไรก็,1
อย่างไรก็ได้,1
อย่างไรเสีย,1
อย่างละ,
อย่างหนึ่ง,1
อย่างไหน,1
อย่างๆ,
อัน,
อันจะ,
อันใด,1
อันได้แก่,
อันที่,
อันที่จริง,1
อันที่จะ,
อันเนื่องมาจาก,
อันละ,
อันไหน,1
อาจจะ,
อาจเป็น,
อาจเป็นด้วย,
อื่น,
อื่นๆ,
เอ็ง,1
เอา,1
ฯ,
ฯล,
ฯลฯ,
