text,probability
ขอเพลงท่อนนึงที่ตรงกับความรู้สึกตอนนี้,0.7503
กำลังคิดว่าตัวเองตกหลุมรักคนคนนึง ก็รู้จักกันเกือบปีแล้ว แต่เขาต้องการแค่เซ็กส์ กูรับไม่ด้ายยนยย และก็ไม่รู้จะทำยังไงกับคนนี้ดี,0.7503
หอจดหมายเหตุ ตอนนี้เป็นอย่างไรบ้างคะ,0.7503
วิชาแต่งหน้ารหัสไรอะะะ,0.7503
โย่วว พี่หล่อป่ะ ?,0.7503
พอให้โอกาสเขาก็ทำร้ายเราเหมือนเดิม,0.7503
เมื่อตื่น 8.30  แล้วมีเรียน 9.00  นิสิตทราบดีว่านิสิตต้องสายแน่ๆ  นิสิตจะลุกไปอาบน้ำเพื่อไปเรียนแบบสายๆ  หรือนิสิตควรนอนต่อดีคะ ?,0.7503
ในนี้ดราม่าได้มั้ยเจ๊เศร้าอ่ะ😭,0.7503
"ช่วยอัพเดทสถานการณ์ให้หน่อยค่ะ
หัวแถว จุดคัดกรองหน้า รร.รัตนโกสินทร์ หน่อยค่ะ
เป็นไงบ้าง แม่ไปรอตั้งแต่เมื่อวานยังไม่ได้เข้าเลยค่ะ",0.7503
เค้าเรียกเราว่าแฟน และเค้าก็เรียกคนอื่นๆว่าเเฟน...,0.7503
":อึดอัดอะ
:เครียดหรอ?
:พุงกูเนี่ย อีเวนนนจะเเตกอยู่แล้ว",0.7503
มีใครอยู่สยามไหมม~,0.7503
ขอเพลงท่อนนึงที่ตรงกับความรู้สึกตอนนี้,0.7503
ปีสี่แล้ว มีแฟนกันรึยังเอ่ย ไม่มีหรอ สมน้ำหน้า,0.7503
เขาว่ากันว่า ผู้บ่าวมอนี้หน้าตาดีเยอะ จริงมั้ย.?,0.7504
จะดีแค่ไหน ถ้าคนที่เรารักกับคนที่เราเป็นคนคนเดียวกัน,0.7504
พยาบาลที่นี่เรียนหนักไหม,0.7504
สอนเล่นหน่อยค่ะ,0.7504
ก็คนมันไม่มีแฟน เข้าใจมั้ย,0.7504
"เป็นมั้ยอะ รู้สึกว่าร้านตามสั่งแถวมอรสชาติเหมือนๆ กัน ไม่ต่างกันเท่าไหร่

เราว่าร้านนี้อร่อยดี เมนูไม่เยอะ รสจัด ดูเป็นตามสั่งแบบ old school อะ

ร้านลุงโย่ง ใต้หออินเตอร์ปาร์ค",0.7504
ป๋วย/ศูนย์การเรียนรู้ เปิดวันเสาร์-อาทิตย์มั้ยค้าา,0.7504
ขอรีวิว LA100 หน่อยค่า ไปต่อหรือถอนดี,0.7504
ถามพี่ๆมชหน่อยงับ ไปงานophที่มช ถ้าเป็นเด็กตจว ต้องนอนโรงเเรมอย่างเดียวแม่นก่ออ,0.7504
เธอไปอยู่ที่ไหน จะเป็นอย่างไร,0.7505
ต้องร้องไห้อีกกี่ครั้ง 😭,0.7505
มีใครสนใจอยากผ่าฟันคุดกับ นศ.ทพ. ไหมคะ ดูแลอย่างดีเลยยยย :),0.7505
ทำยังไงดีให้คิดหัวข้อธีสิสออกนะ,0.7505
จนเขาเปลี่ยนแฟนไปหลายคนแล้ว กูยังรักเขาอยู่เลย 😶,0.7505
ไม่อยากทำรับน้อง เหนื่อยอยากพักหลังจากเรียน แต่ก็กลัวเพื่อนเกลียด,0.7505
จนเขาเปลี่ยนแฟนไปหลายคนแล้ว กูยังรักเขาอยู่เลย 😶,0.7505
ที่อ่านไปไม่ได้ใช้เลย😂,0.7505
วัดหัวลำโพงคนเยอะมั้ยคะ เรากับแม่กำลังจะไปค่ะ,0.7505
"ไม่เคยมีวันไหน ที่ท้องฟ้าจะทำให้ผิดหวัง :-)
#goingoncloud9",0.7505
กรุงเทพ รถโล่งมากกก ชอบบบบ แต่อยากไปเที่ยวบ้าง ฮือออออ,0.7505
ใครมีสายชาร์จแมคบุ๊คบ้าง แบตเหลือ 3 เปอร์ งานต้องส่ง ยังไม่เสร็จ เครียดมากอะ จะร้องไห้ละ,0.7506
สอบเสร็จจะเมาให้หายเศร้าเลย5555,0.7506
"ถ้าการรักใครซักคนมันทำให้เจ็บ
เจ็บจนไม่เข้าใจ",0.7506
นุ้งหมีไปทำไรนั่น?,0.7506
ทำไมไม่มี ม เราง้ะ ฮือ,0.7506
จุดคัดกรองที่ 4 พระแม่ธรณีบีบมวยผม เดินทางจากฝั่งธน จะขับรถไปส่งคุณยาย เดินทางเส้นไหนสะดวก,0.7507
ขอถามหน่อย คือวันเปิดเทอม(15)มันเป็นวันอังคาร แต่เราดันไม่มีเรียนวันนั้น เรามีเรียนวันพุธอ่ะ คืออย่างนี้ต้องไปมหาลัยตอนวันเปิดเทอม(อังคาร)ไหม?,0.7507
รู้สึกเหมือนเพื่อนไม่ค่อยอยากอยู่กับเราสองคนเลย,0.7507
"ทำไมผญ.ถึงปวดท้องเวลามีประจำเดือน
ต้นเหตุที่ทำให้ปวดท้องประจำเดือน คือ #โพรสทาแกลนดีส ( เป็นสารชนิดเดียวกับที่ทำให้ผู้หญิงปวดท้องตอนจะคลอดลูกด้วย ) ‼️‼️‼️

สารนี้จะกระตุ้นกล้ามเนื้อมดลูกหดตัว เพื่อช่วยให้ร่างกายขับประจำเดือนออกมา เป็นกันทุกคนแล้วแต่มากน้อย จะรู้สึกหรือไม่รู้สึกปวดเลยก็มี ดังนั้นจึงควรออกกำลังกาย ซึ่งจะทำให้ร่างกายหลั่งสารเอนโดฟินออกมา เป็นการระงับการปวดตามธรรมชาติ #ทำใจให้สบาย ไม่เคร่งเครียดกับงานและหายใจลึกๆค่ะ
#เมื่อเพื่อนชวนไปเที่ยวแต่ปจด.คุณมาพอดี",0.7507
ไม่มีแฟนก็แค่เหงาอ้ะ แต่ไม่มีตังค์กับไม่มีของกินนี้คือตายค้ะ 😂😂😂,0.7507
ขอรีวิวtu112หน่อยค่าาา,0.7507
ขอรีวิว py267 หน่อยค่าาา,0.7507
[@น้อง ](http://zonapplication.com/users/581c1e5f12e8bd000bb0c882) หาเรื่องจะทักเลาหลอหรืองัยอะงง หยักทักก็บอกมาตรงๆก้ล้าย,0.7507
"จะสอบแล้วหรอ ..
ก๊อก แก๊ก ก๊อก แก๊ก
ไขอะไรวะ
อ๋อป่าวเสียงเคาะสมองน้องเอง 
#ก๊อกแก๊ก",0.7507
จะสอบละหนังสือยังไม่แตะสักตัว😭,0.7507
ฟิสิกส์สอนอะไรก็ไม่รู้ งงโว้ย,0.7507
ทำใจยังไงให้ชิน,0.7507
ขอรีวิว TU131 หน่อยค่าาา,0.7507
หวัดกินแล้วง่ะ ช่วยด้วยยย,0.7508
บอกชอบคนที่ชอบมาสามปี ตามเนื้อเรื่องเลย เสียพี่ชายแสนดีไป1คน,0.7508
ตั้งใจอ่านหนังสือจะได้ติดอักษรโว๊ยเบื่อสายวิทย์,0.7508
เมื่อไหร่โซนของม.จะมาสักที5555,0.7508
คิดตอนนี้แล้วกินตอนนี้เลยได้มั้ย ฮืออออ 😫,0.7508
เมื่อไรจะใส่ห่วงกับกระดุมเร็วๆบ้างโวยยย,0.7508
จะไปฟิวกันไรเดดดดด,0.7508
ปลาตัวนี้ชื่อ 18 😂,0.7508
"ไม่เหมาะกับการมีใครจิงๆ ใช่ไหมเนี้ย
ควรอยู่คนเดียวใช่ไหม ไม่เคยสมหวังนกตลอด",0.7508
หอในฝันขอเเค่ไวไฟเเรง กำเเพงหนา ค่าห้องถูก ปลูกต้นไม้ได้ พอละ #เด็กหอ,0.7508
ขอความสบายใจให้เราบ้างไม่ได้หรอคุณ,0.7508
ทำไมคุณถึงโสด?,0.7508
เป็นชะนีที่แพ้พลาสเตอร์ทุกยี่ห้อบนโลก ใครเป็นเหมือนเราบ้าง😭😭 ทุกวันนี้เป็นแผลไม่ได้แล้ว5555,0.7509
เมื่อไหร่จะมีแฟน??,0.7509
แนะนำที่ฉีดbotoxหน่อยค่ะ ขอแบบราคาไม่แรงมากนะะะ,0.7509
จนแถมอ้วนอีก จะเอาไรไปสู้คนอื่นเขา 😖😖,0.7509
คุณจะไม่ไปจากเราได้มั้ย ?,0.7509
กูผู้อยู่หอใกล้ทูฟาส แต่เพื่อนไม่ไปทูฟาส+ที่ไม่มีเลยไม่ไป เส้า,0.7509
ปวดตาอ่ะงื้ออ,0.751
จะปีกว่าแล้ว ทำไมยังไม่ลืม ทำไมยังคิดถึงแต่เธอ 😔,0.751
ปวดตาอ่ะ ฮอลล5555,0.751
ประตูมันเล็กไป เราไม่ได้อ้วน 🐨🐼🐻,0.751
รับปริญญา~ ติดมานานเกินไปแร้ว!,0.751
อยากมีแฟนเรียนจุฬา,0.751
แนะนำร้านแถวจุฬาที่ถูก ไม่ชาบู ไม่แซลม่อนหน่อยค่ะ จะเลี้ยงน้อง แงงงงง,0.751
อยากมีแฟนเรียนจุฬา5555,0.751
google ignite class ! @ glowfish,0.751
ด้านในไบเทค,0.751
central world เป็นงัยคะ คนเยอะ??,0.751
หมุดคณะราชช,0.751
ทำเป็นมาถามนู้นถามนี่ อยากคุยด้วยก็บอก!,0.751
เจอรีเทนเนอร์ตั้งอยู่แถวๆ ศกรร. ใครเป็นเจ้าของไปรับคืนที่ห้อง SSC นะ เราเอาทิชชู่ห่อไว้ให้อยู่ 😂,0.751
งือออ ปากแตกบ่อยมาก วาสลีน ลิปมัน เอาไม่อยู่แล้ววว ต้องทาทุกๆครึ่ง ชม อะ ไม่งั้นปากแตก มีไรที่แนะนำบ้างไหมแบบไม่ต้องทาบ่อยๆ,0.751
ชอบพี่คนนึงตั้งแต่เค้ายังไม่มีแฟน ชอบจนเค้ามีแฟนแล้วครบกันปีกว่าๆละ ก็ยังชอบอยู่ ถึงเวลาควรตัดใจแล้วใช่มั้ยคะ ฮื่ออออออ,0.751
วันที่ 26 จะขับรถเข้าไปที่สภา มาเส้นทางไหนได้บ้างค่ะ,0.751
แรดแบบมีระดับคือ,0.7511
ร้องไห้กับใครได้บ้าง,0.7511
เลี้ยงน้องยังไงอ่าา,0.7511
ไปหอ อยากเอาแมวไปอยู่ด้วยจัง,0.7511
โสดครับ สายเป(กระดุมยด),0.7511
ทำยังไงให้ไม่เบื่อวันจันทร์,0.7511
ถ้าเผลอไปกอดคุณเเล้วผมจะผิดไหม,0.7511
แรดอย่างไรให้มีผัว??บอกทีซิส,0.7511
ร้องไห้กับใครได้บ้าง,0.7511
พน ไม่ไปเรียนได้ไหมอ่ะ😭,0.7511
ม่ายยยยยยยย ลืมหูฟัง !,0.7511
"อกหักจากคนที่ไม่ได้เป็นอะไรกัน 😂
#ความคิด1999",0.7511
เพิ่งเข้ามหาลัยได้แค่ไม่กี่เดือน อ่านหนังสือเยอะกว่าทั้งชีวิตอีก,0.7511
สาวๆมธจ๋าาา สาวจุฬามีเรื่องสงสัย ไบร์ทนอไม่ได้อยู่มธแล้วหรอ🤨,0.7511
หิวคนเดียวมันเหงางะ มาหิวเป็นเพื่อนหน่อย 😭,0.7511
ถ้าต้องการเข้าไปในท้องสนามหลวงต้องดำเนินการอย่างไร,0.7512
สายชาร์ตไอโฟนที่เซเว่นมีขายใช่มั้ยง่าาาา อ่านสือจนมึน โยนทิ้งถังขยะไป แงง,0.7512
เป็นคนนั้นให้ไม่ได้อ่าดิ,0.7512
เรียนศิป์ภาษานี่อนาคตทำอะไรได้บ้างครับ,0.7512
ดรอปหรือเสี่ยงFดี,0.7512
"เคยน้อยใจเพราะแม่รักลูกไม่เท่ากันไหม 
ขนาดโตแล้วยังน้อยใจ",0.7512
หิวข้าวจัง กินไรดี,0.7512
ทำไมยังไม่นอน #คนไม่มีโซนเป็นของตัวเอง 🤣,0.7512
พรุ่งนี้ไม่มีเรียนค่ะ ฮิฮิ😝,0.7512
"5
4
3
2
.......
คุณสนใจมาเริ่มนับ 1 ใหม่กับเราไหม?",0.7513
มีใครเล่นหุ้นบ้างมั้ย,0.7513
เกรดออกครบแร้วดีจรัย,0.7513
คนที่เรียนที่รังสิตปกติใช้เงินเยอะมั้ยอ่ะ ปีหน้าอาจจะซิ่วไปอยู่ด้วย😭 ตอนนี้อยู่ท่าพระจันทร์,0.7513
ไม่ได้แวะเข้ามานาน ทุกคนสบายดีไหมครับ55555,0.7514
คนเราต้องผ่าฟันคุดมั้ยอ่า นี่อยู่มา 20 ปียังไม่เคยเลยย ?,0.7514
ช้างหล่อคับ,0.7514
ทำไมยิ่งใกล้สอบยิ่งง่วงนอนบ่อยขนาดนี้ 😤,0.7514
ช้างหล่อคับ,0.7514
เด็กวิทยามานั่งเรียนกับสังวิท อาจารย์จะรู้มั้ย,0.7514
"ถ้าเราไม่ติดว่าอบเทอ เราชอบคนอื่นไปนานล่ะ
🤔🤔",0.7514
จุฬารถติดมั้ยงับ,0.7514
เป็นคนกลางที่รู้ว่าทั้งสองฝ่ายแอบชอบกัน แต่เขาไม่กล้าบอกความรู้สึกของตัวเองออกไปให้อีกฝ่ายรู้  ออต๊กเค?!,0.7514
ทำไมเล่นแต่โทรศัพท์อ่าา ไม่สนใจเค้าเลยนะ!,0.7514
แม่ทักมาถามว่าเป็นไงบ้าง เราก็ตอบตังหมด แม่ก็อ่านแล้วไม่ตอบ คือไรอ่ะ แม่มาตอบหนูก่อนนนน,0.7514
"""ทรัพยากรที่มีค่าที่สุดคือ มนุษย์"" 
คำพูดนี้มีเหตุผลมั้ยครับ หรือแค่เป็นคำพูดของสิ่งมีชีวิตที่หลงตัวเอง

(ใครมีบัญชีพันทิปฝากตั้งกระทู้ถามหน่อยจะขอบคุณมากครับ)",0.7515
ขอเบอร์ร้านอินเคอรเฮ้าหน้อยยยยย ใครมีบ้าฝฝ,0.7515
"ที่บอกว่าอยู่ข้างๆเสมอเนี้ยะ
ตอนนี้ไปอยู่ไหนแล้วอะ 
ทำไมหันไปไม่เจอ🙁",0.7515
ตอนนี้จะไปเข้าจุดคัดกรองตรงไหนดีครับ,0.7515
อยากมีเจอคนดีๆ มีไหมแถวนี้??,0.7515
ขอเพลงที่ตรงกับความรู้สึกตอนนี้หน่อย😢,0.7515
อยากกลับอะ,0.7515
วันที่23ศูนย์หนังสือปิดไหมคะ,0.7516
อกหักก็เหมือนเป็นแผลอ่า ที่ตอนนี้ยังสดก็เจ็บเป็นธรรมดาแล้วก็จะกลายเป็นแค่แผลเป็นแต่มันจะไม่เจ็บอีก แล้วสักวันแผลเป็นนั้นก็จะหายไปเอง,0.7516
อยากกินข้าวหน้าปลาไหล ร้านไหนอร่อยอะ,0.7516
มีใครรู้บ้างนี่เรื่องอารายยยย 🤢,0.7516
เช้าวันปิดเทอมของน้อง ไหนมีอะไรทำบ้าง ?,0.7516
ไม่ชัดเลยเธอ ขอเบอร์ได้ปะ,0.7516
ค้องใช้มาตราไหน ถึงจะครอบครองคนที่เรารัก,0.7516
"ลืมไป ว่าเราไม่ได้เป็นอะไรกัน เราไม่มีสิทธิเรียกร้องอะไรอยู่แล้ว
ความสัมพันธ์ของเรามันเป็นได้แค่""เพื่อน""ตั้งแต่เเรกอยู่แล้ว อย่าถล่ำลึกไปมากกว่านี้เลย ",0.7516
มีใครลงpy316 เทอมนี้บ้างไหม หรือรีวิวให้หน่อย 😂🙏🏻,0.7516
มีใครเคยกลัวในความรักบางมั๊ย กลัวการที่จะมีใครสักคน,0.7516
โทรคุยกันทุกวัน ปลุกและส่งนอนทุกวัน เจอกันก็เดินจับมือ สมัยนี้แบบนี้เค้าเรียกว่า คนคุย ไม่ใช่แฟน หรอ? อิบ้าา กุจะนกเพราะอะไรแบบนี้ไม่ได้,0.7516
อยากเจอคนที่คุยด้วยแล้วสบายใจ,0.7517
หาคนดูเป็นเพื่อนครับ,0.7517
อยากไปคอนboy pabloแล้ว,0.7517
ก็หมวยนิคะ ไม่ได้ตั้งจายยยย,0.7517
"ฝนตกนี่อากาศชื้นน้ะคับ พาใจชื้นไปด้วยอีก.
ไหนใครใจชื้นมั่งคับผมมม 🙄",0.7517
เเพ้คนตาแบบนี้อะ,0.7517
ตอนนี้ยังงง ว่าวิชาคนดีเรียนอะไร,0.7517
ที่สนามกีฬาธูปะเตมีย์ เปิดจุดคัดกรองกี่โมงครับ,0.7517
ภาษาซี แต่เค้าไม่อยากได้ซี,0.7517
shuttle bus ที่หน้า central westgate ให้บริการถึงกี่โมงครับ,0.7517
ทักไปบ่อยๆ ก็กลัวเขาจะรำคาญ 😂,0.7517
สงสัยว่าเราทำอะไรล้มเหลวบ่อยๆ เพราะตัวเราเองหรือเพราะอย่างอื่นอ่ะ เข้าใจว่าเป็นที่ตัวเราเองนะ แต่คนอื่นที่เตรียมตัวมาพอๆกับเราทำไมเค้าถึงไปได้ดีกว่าหรือเป็นเพราะต้นทุนแรกไม่เท่ากัน แล้วเราพยายามไม่มากพอเอง,0.7517
"ซื้อเสื้อ Over Size มา
แต่ใส่ได้พอดี..

#เรื่องสยองสองบรรทัด",0.7517
" แนะนำคลีนซิ่ง ดีๆราคาเบาๆให้อ้วงหน่อยงับ 
เคยใช้การ์นิเย่สีชมพูที่คนรีวิวเยอะแบบเยอะมากว่าดี แต่คือ อ้วงใช้แล้วมันแสบ... 
ใครมีของยี่ห้อไหนแนะนำบ้างหยอ อยากได้ที่เช็ดแล้วรู้สึกไม่แห้งหรือมันเกินไป ช่วยหน่อยนะง้าบบ",0.7517
ตอบหน่อยนะคะ ในฐานะส้นตีนไรก็ได้ 😩,0.7518
เขิลใช่มั้ยบอกมา กิกิ,0.7518
กระโปรงพลีทมีตั้งหลายตัวไม่หาย มาหายตัวที่รักที่สุดดดดดดดด หงุดหงิดอ่ะ !!!!!!,0.7518
เมื่อก่อนถ้าแอบชอบใครคือจะกล้าซื้อนั่นซื้อนี่ไปฝากให้เค้ารู้ว่าเราชอบนะ แต่พอแอบชอบเพื่อนตัวเองไม่กล้าทำอะไรสักอย่างเลยจ้า ทุกอย่างดูยากไปหมด,0.7518
หิวอะ อยากไปเซเว่นแต่ฝนตกทั้งวันเล้ย เส้า,0.7518
รู้อยู่แก่ใจว่าสอบ ก็ยังทำตัวเหมือนปิดเทอมอยู่..,0.7518
เป็นผู้หญิงแต่ชอบพูดค้าบ คับ ฮะ จนติดแล้วววววทำไงงดี,0.7518
ชะนีบางคนนั่งแหกขาทั้งๆที่ใส่สอบแต่ไม่ใส่ซับ เหม็นหลี ตุ๊ดจะอาเจียน,0.7518
ใช่! มีแต่เราที่ไม่เข้าใจ,0.7519
แอบชอบเค้าตั้งนานแต่สุดท้ายเค้าดันไปชอบคนอื่น,0.752
เค้าเล่นกันยังไง?,0.752
ผมเท่มั้ยครับ 😎 เท่ล่ำบึก,0.752
ยังอยากนอนต่อง่า,0.752
กิจกรรมวันที่ 3 ไม่ได้ลงจิตอาสาอะเป็นไรมั้ย,0.7521
พรุ่งนี้หลังพระราชพิธีแล้ว จะอนุญาตให้ปชช.ทั่วไปเข้าสนามหลวงได้กี่โมงคะ,0.7521
เป็นที่ปรึกษาให้คนอื่นได้ แต่ตัวเองทำไม่ได้ไง๊ TT,0.7521
วนลูปความเฮงซวย เพื่อนมีผัวแล้วเป็นบ้าไรชอบเอาผัวมาห้อง ทั้งๆที่ก้มีกุ แล้วไม่บอกไม่ขอสักคำ คือดีแล้วหรอ 😬🌸,0.7521
ตะบองเพดออดดอด,0.7521
นี่มัน yell รึป่าว,0.7521
เคยหงุดหงิด​กับสิ่งที่ไม่น่าหงุดหงิดปะ มันแบบโอ้ยทำไมอะทำไม,0.7521
อยากพอแล้ว,0.7521
ร้านตัดแว่นที่ไหนดีบ้างคะ แถวๆมธ ไม่เอาแว่นท็อปเจริญนะแพงเว่ออ 5000 แหน่ะ ไปถามราคามาละะ เพื่อนเราบอกเคยไปตัดที่อื่น1000 กว่าๆเอง,0.7521
อมอะไรอยู่ครับ 😂,0.7521
เสื้อยืดคอกลม กางเกงยีนส์สีเข้ม รองเท้าผ้าใบ เข้าได้มั้ยครับ,0.7521
ตากฝนไมอะ ไม่หนาวอ่อ,0.7522
ถ้าครั้งนี้กลับไปสัญญาได้ไหมจะดูแลเราให้ดีกว่าเดิม😢,0.7522
ฟอลเราหน่อย ทามะจะวิ้งจริงหรอ✨,0.7522
ใครก็ได้มานั่งเป็นเพื่อนอ่านหนังสือหน่อยยย,0.7522
หลังกินชาบูมา😂................,0.7522
ใครก็ได้มานั่งเป็นเพื่อนอ่านหนังสือหน่อยยย,0.7522
คนคุยเยอะอยู่แล้ว เราหายไปแค่คนเดียวไม่เป็นไรหรอกเนอะ :),0.7522
gigihadid ใครอ่ะ,0.7522
เวลานี้ไปไหนได้บ้างในจฬ ไม่มีไรทำ,0.7522
How to อยากมีแฟนเป็นหมอทำไงอ่ะ,0.7522
แอ๊ะใครอ่ะ,0.7522
คุยกับใครได้บ้างอ่ะ😐,0.7522
ใครดูบอลบ้างงงงง,0.7522
ใครพักแถวม.เกษตรแล้วไปงาน cat expo5 บ้าง มีใครไปกลับมั้ยยยย,0.7522
"เราชอบดูสตอรี่เธอ ที่หมายถึงเค้า😂
ตอนนี้เลิกดูละชอบตัวเองมากกว่า 555",0.7522
ตอนนี้เค้ากั้นคนนอกแล้วคะ อยากทราบว่าคนที่ยังไม่ได้เข้าจุดคัดกรองข้างในสนามหลวงจะได้เข้ามั้ยคะ พอดีอยู่รอบๆตั้งแต่บ่ายสองแล้วคะ,0.7523
ใครก็ได้ ติว371ให้ที 😭,0.7523
ของเหลวในตัวคนเรามันมีส่วนประกอบอะไรกันนนนนน,0.7523
ใครช่วยรีวิว tu102 ให้หน่อยได้มั้ยอ่า,0.7523
ฟอลมาฟอลกลับได้ไหมอะ อยากให้ทามะมีแสง5555555,0.7523
สแบถามข้อมูลครับ วางดอกไม้จัน ที่พระเมณูมาศถึงกี่โมงครับ,0.7523
เขาไม่รู้ด้วยซ้ำว่าเรางอนนน 5555,0.7523
อยากไปมชจาง,0.7523
คิดถึงคนเดิมๆซ้ำๆอยู่ทุกวัน,0.7523
เมื่อไหร่โจีสะพานลอยจะเปิดอ่ะพี่,0.7523
หายไปไหน?,0.7523
กดดันเรื่องเรียนยิ่งนัก 555555555555เส้าว้อย,0.7523
สั้นไปมั้ย แงงงงง 😢,0.7523
ไอเราก็บอกคนอื่นว่ามีแฟนแล้วในขณะที่แฟนตัวเองบอกคนอื่นว่าไม่มี...วอทททท,0.7524
มีร้านชานมไข่มุกแถวไหนอร่อยบ้าง,0.7524
วิชา EG มีตัวไหนน่าเรียนบ้างคะ แล้วตัวไหนเก็บเกรดบ้างคะ บอกบุนน้องที,0.7524
อยากรู้เหมือนกันว่าเราจะทนเสียใจอยู่ที่เดิมนานแค่ไหน,0.7524
เรียนแลคเชอร์ตอนบ่ายไม่ใช่เรื่องตลก😪,0.7524
ใครพอมีคลิบสอน YouTube สอน เจนเคมเรื่อง 'สารละลาย' เจนเคมไหมคะ ไม่ได้เรียนในห้องเลย😂😂,0.7524
ทำไมเพื่อนมีแฟนแล้วชอบปิดบัง มารู้อีกทีตอนเลิก คิดว่าเป็นคนในความลับหรอ,0.7524
