,text,types,keywords
24,เจ้าดอกไม้ตอนนี้เธอไปอยู่ไหนSingazon,where,"flowers,Singazon"
25,เทคนิคบนชุด คล้ายจะเป็นพรมเช็ดเท้ามั้ย 555555555555 จ้องรอติดตามน้าจะออกมาเป็นยังไงง,,"technique,set,doormat,hahahahahahahahahaha"
26,รับน้องจุฬา เป็นไงบ้าง รีวิวหน่อยยยย ,how,"Chula,Review"
27,มีใครอยากไปนั่งชิวๆรู๊ปท็อปไหมมม,who,laptop
28,ไม่รู้จะทานไรเลย อยากให้แนะนำร้านอาหารแถวยูที่ทุกคนชอบหน่อยอ่ะครับ อย่างเราชอบร้านข้าวยำไก่ย่างหน้าทวินงี้,"what,yes_no","restaurant,everyone,likes,chicken,front,Twin,Nee"
29,คนเราจำเป็นต้องเหนื่อยขนาดนี้เลยเหรอ,,
30,พี่กายตกลงชอบเพศไหนอ่อคนับ,,"Brother,gender"
31,สวนลุมพินี เป็นไงบ้างคะใครอยู่แถวนั้นบ้าง,"how,who","Lumpini,Park"
32,ทำไมน่ารักจังแอพนี้,why,app
33,จิตอาสาดอกไม้จันทร์อำเภอเมืองย้ายไปที่ไหนคะ,where,"Volunteer,Flower,Flower,Muang,District,Where"
34,ลูกเกดทำมาจากอะไร จริงๆแล้วคือลูกองุ่นแห้งชนิดหนึ่ง raisin พันธุ์องุ่นที่ปลูกเพื่อใช้ผลทำองุ่นแห้งหรือลูกเกดRaisains secs โดยทั่วไปลักษณะผลมีขนาดเล็ก ไม่มีเมล็ด รสหวาน mamuangscoolfact ใครเพิ่งรู้ขอกอดหน่อย,"who,what","raisin,fact,kind,grapes,raisin,grape,varieties,grapes,raisins,secs"
35,ใครอ่านวิธีเลี้ยงหนูเล็กบ้าง ไม่ไหวแล้วแง,"how,who,yes_no",rat
36,มีใครกินข้าวคนเดียวบ่อยๆจนชินแล้วบ้าง55555555555,who,
37,ทำไมเวลาโนบิตะจะวาร์ปไปหาชิซุกะทีไรต้องเป็นเวลาที่ชิซุกะอาบน้ำตลอดด้วย,"why,yes_no","warp,Shizuka,time,Shizuka,bath"
38,ใครมีไอเดียทำให้ยอมอ่านวิชาที่ไม่ชอบบ้าง เฮียไม่ชอบวิชานึง หาเรื่องอู้ไม่ยอมอ่านตลอด แต่จะอ่านไม่ทันแล้ว วอนผู้รู้ช่วยแถลงไข,"who,what,yes_no","ideas,subjects,subject,Won,author"
39,หนาวนี้น้องเรนโบว์อยากรู้ เพื่อน ๆ มีกิจกรรมอะไรท้าหนาวบ้าง ,what,"winter,Rainbow,Boy,friends,season"
40,อยากลองเต๊าะๆคุยๆทาง story ในไอจีคิดว่าเวิร์คม้ะ,,"story,IJ,Think,work"
41,น้องตัวนี้ที่ย่างเนยชื่ออะไรมีใครรู้บ้าง น่ารักมาก แพ้ ฮืออแแอ,who,"brother,butter,name"
42,ไม่มี ไม่มีอะไรเลย ที่เธอต้องการ ลืมความรู้สึกว่ารู้สึกกับใครแบบนี้มานานจนวันนี้ที่ได้มาเจอกันอีกครั้ง ไม่รู้ต้องทำหน้ายังไง ต้องยิ้ม ต้องมองผ่าน ถ้าต้อง con กัน ยังไม่รู้จะเริ่มต้นยังไง ต้องใส่แว่น ปิดแมส ต้องแลกเวร ต้อง อะไรอีก ไม่รู้ ทำตัวไม่ถูก ,how,"nothing,feeling,someone,feels,time,today,face"
43,จะมีไหมสักนาทีที่เธอจะ คถ กัน ,yes_no,minute
44,ในชีวิตนี้ต้องตัดคนออกไปจากชีวิต อีกกี่คนกัน และทุกๆครั้งมันใช้เวลานาน กว่าจะหายเจ็บ ,how,"life,people,lives,time,time,Than"
45,หิววววววว กินไรดี,,
46,อยากกินชาบูใต้หอซิตี้ ใครกินแล้วบ้างงงอร่อยม้ายยน,"who,yes_no","City,Tower,Who"
47,วัดอุดม วัดบุญประดิษฐ์ คนเยอะมั๊ยคะตอนนี้,,"Udom,Temple,Wat,Bunpradit,Many,people"
48,ทำไมคนคนหนึ่งถึงใจร้ายกับเราได้ขนาดนี้ว่ะ,why,person
49,ขอถามหน่อยงับ เวลาโพสต์เป็น anonymous ถ้ากดไปดูตรงโปรไฟล์มันก็รู้อยู่ดีช้ะมะว่าเราโพสต์ ฮือ แล้วเป็นเหมือนกันกับเม้นมั้ย เพิ่งหัดเล่นเลยงง,"when,yes_no","Please,ask,profile,Just,play"
50,ไม่ได้อยู่มธแต่โพสในนี้ก็ได้ใช่มะ555,,"Ca,post,post"
51,วันนี้สนามหลวงปิดถนนมั้ยคะ,,"Today,Sanam,Luang,road"
52,ช่วงนี้ในธรรมศาสตร์มีอะไรน่าทำข่าวบ้างครับ,,"period,Thammasat,something,news"
53,จากท่าเรือวังหวังมาท่าช้างยังยังมีเรือข้ามอยู่มั้ยคะ,,"Wang,Wang,Ma,Pier,Tha,Chang,boat,crossing"
54,บาร์ใหม่กินอะไรดี,what,bar
55,อันนี้คือต้องเอาเงินไปฝากเลยเหรอคะ ฝากอย่างต่ำ2บาทเหรอคะ,,"money,Deposit,baht"
56,เอาไว้รองแก้วปะ 555,,"coaster,patch"
57,ใครเคยไปYELO houseมั่ง,who,"YELO,house"
58,ใครแดก,who,
59,สับสนนนโว้ยยยย จะเอาไงกับเรากันแน่อ่ะ อย่ากั๊กดิวะ,"how,yes_no",
60,แล้วแอฟนี้เล่นยังไงกันคะ เพื่อนบอกให้โหลดมา แล้วมันก็ไม่บอกไร้ลยอ่า,how,"AFL,Friend"
61,อยู่ตรงพระเมรุมาศในสนามกวงเห็นริ้วขบวนไหมค่ะช,,"Merumas,Kuang,field,procession"
62,วัดออเงินบรรยากาศเป็นอย่างไรบ้าง,what,"money,temple"
63,แก้ผ้ายังไงให้ได้ดาวเพิ่มเป็นพัน พี่หมีบอกที,how,"fabric,stars"
64,เราจะวางใจท้องฟ้าวันนี้ได้หรือไม่ ,yes_no,"sky,today"
65,เมื่อไหร่ทามะจิเพิ่มสีมอเน้ฮือออออ ,when,"Tamaji,Mone,color"
66,ไม่รู้ว่าที่คุณทำแบบนี้กับเรา คุณทำกับใครไปกี่คน หน่วงสัส,how,"How,people"
67,ว่างๆมาคอลไลน์กันไหมคะ,,line
68,ใครโสดตั้งแต่เกิดเหมือนเรามั่งง55555555555,who,birth
69,ใครเหนื่อย อยากมีใครสักคนกอด,who,"someone,hug"
70,มีใครโสดมานานจนชินกับการอยู่คนเดียวบ้างคะ,,"Has,anyone,time"
71,เราบอกคิดถึงคุณผ่านในนี้ได้ใช่มั้ย ,yes_no,
72,ชาเขียวร้านไหนอร่อยที่สุด แนะนำหน่อย,which,"tea,shop"
73,set always anonymous ไม่ได้หรอ,,Ca
74,เมื่อไหร่มบูรจะเปิดน้า5555555,"when,yes_no",Buriram
75,แฟนบอกว่าอยู่บ้าน แต่จริงๆอยู่บ้านเพื่อน เพื่อนจริงๆพอโทรคุยกันเลยให้เปิดกล้อง เค้าก็เปิดแค่หน้านั่นล่ะละหาว่าเราไม่ยอมเชื่อใจจริงๆถ้าบอกตรงๆว่าไปบ้านเพื่อนก็ไม่โกดนะ เราก็ไม่ขี้เกียจถามเยอะละอ่ะ แต่เจอแบบนี้เเย่กว่าอีกอ่ะทำไมถึงต้องโกหกกันด้วย,yes_no,"girlfriend,home,friend,house,Friends,page,friend,house,lot"
76,ชาไข่มุกที่ไหนอร่อยย,where,"Pearl,Tea"
77,วางของไว้ละเอาโต๊ะกูไปได้หรอ55 ยังดีที่น่ารัก5555,yes_no,"product,table"
78,วันนี้วันแม่ ไปไหว้แม่กับเราไหมครับ,,"Today,Mother,Day,homage"
79,ไม่ชอบอย่ามาดูสตอรี่ได้มั้ยห้ะ,,match
80,ธรรมศาสตร์เรานั้น น่าอยู่เพียงใด,how,"Thammasat,University,How"
81,เขาจะดีกับทุกคนแบบนี้รึเปล่านะ,yes_no,everyone
82,ร้านแถวๆ เชียงนรากนี่เขาเปิดกี่โมงหยออ,what,"time,shop,Chiang,Roi"
83,เหมือนเดิมนี่คือแบบไหนนะ ,what,kind
84,ยังมีคนยุมไหมอ่ะ,,"Are,people"
85,อยากรู้ ความสุขจากความรักที่เกิดขึ้น มันคุ้มค่ากับความเจ็บปวดที่ได้รับเมื่อต้องจากลาจริงหรือ,when,"Want,happiness,love,pain,donkey"
86,หยักหาคนหาร Netflix อ่า มีใครสนใจมุ้ย,,"Wavy,people,Netflix,Ah,anyone,Mui"
87,วันนี้มีวัดไหนวางดอกไม้จันบ้าง,,"Today,temples,flowers,Chan"
88,ขอเล่นมุกได้ไหม ในฐานะคนกินชานมอย่างเดียวก็ได้,yes_no,person
89,ว่าแต่ห้องน้ำที่ใกล้สนามโซน A ที่สุดนี่อยู่ตรงไหนงะปวดฉี่ ,where,"bathroom,zone"
90,คนคนนึงต้องเข้มแข็งขนาดใหนกัน,yes_no,"person,size"
91,ถ้าเราสำคัญ เค้าจะไม่ปล่อยให้เรารอใช่ป้ะว้ะ งั้นแสดงว่ากุไม่สำคัญล้ะ 55555,yes_no,So
92,เลิกทำให้ผมรู้สึกแพ้คนในใจคุณได้มั้ย,yes_no,heart
93,จริงหรือป่าว ว่าถ้าเรารักใครเราจะไม่ปล่อยเขาไปง่ายๆแน่นอน,yes_no,someone
94,ทำไมต้องตีตัวออกห่างด้วย ,why,
95,รักเขามากไหมอ่ะ เราก็รักคุณพอๆที่คุณรักเขานั้นเเหละ ส ,,"Love,lot"
96,สวัสดีค่ะ หนูชื่อบราวนี่ เป็นลูกสาวตัวเดียวของแม่แอน หนูสวยและเซ็กซี่มาก ทุกคนเห็นด้วยใช่มั้ยคะ โพสท่าแล้วจิกกล้อง,,"Hello,name,Brownie,daughter,Mae,Ann,Everyone,camera"
97,อยากรักตัวเองให้มากกว่านี้ รู้สึกว่าจะแคร์ทุกคนบนโลกมากกว่าแคร์ความรู้สึกตัวเองอีก ควรทำไงดีคะ ,"what,yes_no","Want,everyone,earth,feelings"
98,รักน้องตั้งแต่ยังไม่เห็นหน้า  ไหนใครเพิ่งเป็นพี่ปีสอง เป็นพวกขี้เห่อน้องบ้างงง  ยกมือขึ้นหน่อยยยย,which,"Love,face,Which,year,bit,Raise,hand"
99,เดี๋ยวมาเดี๋ยวหายเธอเป็นเหี้ยไรอะ,,"Wait,moment,guy"
100,อยํ่สะพานพุทธไปเร่มที่จุดไหนต่อค่ะ,where,"Buddhist,Bridge"
101,รู้ไหม ทำไมเราถึงไม่คุยคนอื่นเพราะเชื่อว่าสักวันหนึ่งเธอจะกลับมา,"why,yes_no","others,someday"
102,มารอจุดสะพานมอญไม่เคลื่อนเลย จะได้เข้าไหม,,"Come,wait,Mon,Bridge"
103,ปีนี้ มธ รับปริญญาเมษาจริงดิ่,,year
104,ตอนเรากำลังจะหายไปคุณมารั้งทำไมพอเรากลับมา คุณก็ไม่สนใจเรา,"why,when",
105,คิดถูกมั้ยที่ไม่ให้มิชชั่นน้องรหัสทำเพื่อรับเข้าสาย,,"code,youth,mission,line"
106,ใครอยู่ ideo สยามราชเทวีแล้วประสบปัญหาเดียวกะเราบ้างปะเวลาบอกพี่วิน พี่แกชอบไปส่งที่ไอดี ราชเทวี ไม่ก็เวลาสั่งไลน์แมนก็ชอบไปราชเทวี เคียส5555555,"who,when","ideo,Siam,Ratchathewi,problem,ID,Ratchathewi,order,line,Ratchathewi"
107,ใครว่างสอนอิ้งโหน่ยยย,who,teaching
108,พรุ่งนี้ใครไปออดิชั่น higher level  บ้าง หาเพื่อนไฃ5555,who,"Tomorrow,level,auditions,Find"
109,ผู้ชายดี ๆ มีผัวหมดแล้ว คุณจะรออะไร,what,man
110,ต้องตื่นตี5จริงๆน่ะหรอ ขี้เกียจจังวุ้ย,,"Lazy,wow"
111,เราจะได้มีสมาชิกคนฉาวเพิ่มมั้ย จุ้งแช่ httpzonapplicationcomusers58ada87335225ab583a7e นุ้งหมี httpzonapplicationcomusers58576eb972116b4b4d3 เจ๊ปุ๊ยเอง httpzonapplicationcomusers58d2ade377d554dd7fddd น้อง httpzonapplicationcomusers581c1e5f12e8bdbbc882,yes_no,"member,Chung,Soo,httpzonapplicationcomusers58ada87335225ab583a7e,Nung,Bear,httpzonapplicationcomusers58576eb972116b4b4d3,Cheong,Hee,httpzonapplicationcomusers58d2ade377d554dd7fddd,sister,httpzonapplicationcomusers581c1e5f12e8bdbbc882"
112,จะไปไหนทำไรก็เจอแต่นักบอลมาเต๊าะแต๊ะ โว้ยเบื่อโว้ยยย นี่เรียนสินสาดหรือสหเวช สวยเอ็กซ์สเปกนักบอลหรอ ขอ sexy boy คน,"how,where","footballers,Sin,Sin,Sahavej,Beautiful,X,specification,football,player,request,sexy,boy"
113,ทำไมต้องจิกหน้า พี่แฟ้ม คิ้วบอยผังเมือง,why,"face,eyebrow,file,town,plan"
114,ช่วงสอบกลับบ้านมาละไม่ได้อ่านหนังสือเลยโว้ยใครเปนเหมือนกันบ้าง ทั้งเกมส์ ทั้งของกิน ฟัคๆๆ,,"homework,exam,book,games,lot"
115,จะสอบเเล้ว ยังไม่รู้เลยว่าต้องอ่านเรื่องไหนก่อน,"what,yes_no",exam
116,วันหยุดจริงๆ มันคืออะไร ใครนิยาม,"who,what",
117,ตอนนี้ใครที่จะมาวางดอกไม้จันที่วัดมักกะสัน ขบวนปลายแถวอยู่ที่หน้าโรงเรียนวัดดิสหงสารามคับ,who,"flowers,Makkasan,Temple,procession,end,line,front,school"
118,อยากสอบถามคำ ว่า ขอเป็นข้ารองพระบาททุกชาติไป กับคำว่า ขอเป็นข้ารองบาททุกชาติไป คำสองคำนี้ คำไหนถูกต้องที่จะใช้กับสามัญชนทั่วไป อย่างเราเรานี่ครับ,yes_no,"words,deputy,nation,words,vice,nation"
119,ใครอัพเดทแอปofoแล้วเด้งเหมือนเราบ้าง ,who,"ofo,app"
120,แลบไบโอพรุ่งนี้ ยังไม่รู้ห้องเลย ต้องไปดูที่ไหนอ่าครับ,where,"Bio-tomorrow,room,Where"
121,มีเด็กท่องเที่ยวโรงแรมแถวนี้มั้ยน้าาาา,,"Are,children,hotel"
122,แจนแมนชั่นหาสัญญายากป่ะ,,"Jan,Mansion,contract"
123,กอล์ฟวิวมีร้านไหนอร่อยมั่งคะ แนะนำที,which,"Golf,View,restaurants"
124,อย่าสงสารคนตายเลยแฮร์รี่สงสารคนที่จะสอบแต่ยังไม่รู้ว่าเทอมนี้เรียนอะไรบ้างเถอะ,what,"Do,Harry,people,classes,semester"
125,ล่าสุดตอนนี้จุดคัดกรองตรงไหนที่คนน้อยบ้างคะ,where,"screening,point,ones"
126,ถ้าย้อนเวลากลับไปได้คุณจะเลือกเข้ามาในชีวิตเรามั้ย,yes_no,"time,lives"
127,เรารักกันมากพอแล้วหรือยัง บอกฉันหน่อย,,
128,ชอบพี่คนหนึ่ง คิดว่าเป็นพี่นะ เรียน 231 พี่เรียนวิชาคณะเราเยอะนะ คิดว่าโทคณะเรารึเปล่า ด้วยกัน พี่เค้าขาวอวบ น่ารักมากอะ พี่ดูแลซอนด้วย พี่มีแฟนยังงะ จีบได้มะ,yes_no,"brother,Think,brother,Study,lot,faculty,masters,group,plump,girlfriend"
129,ใครเป็นคนตั้งกฏว่าห้ามเอามือถือมาโรงเรียนวะ,who,"rules,phones,school"
130,มีใครอยู่ C1 บ้าง,who,C1
131,ทำไมมนี้คนหน้าตาดีเยอะจังวะะะ555555,why,"lot,people"
132,ขอได้ไหม อยากให้เป็นเธอ,yes_no,
133,อ่านแล้วไม่ตอบก็คือคำตอบรึป่าวนะ,,"Read,answer"
134,ในรูปคือเงาของตัวอะไรฮะ,what,"shadow,body"
135,เธอยังจะมีฉันอยู่ บ้างไหม,yes_no,
136,รู้จักนักแสดงfast7ป่าว,,"Know,actors"
137,มีอาหารฟรีด้วยนะ สนไหม,,"Have,food"
138,มึงไม่ไปไม่ได้หรอวะไอ้สัส,yes_no,
139,สรุป แอดมินเพจเมเจอร์ โป๊ะแตกมั้ยอ่า งงไปหมดแล้วว,,"Administrative,Page,Major"
140,ทำไมคืนนี้มันเศร้าจัง,why,tonight
141,วันนี้เจซีมีไรกันอีกแล้วอะ,,"Today,JC,life"
142,มีใครยังไม่นอนมั้ย อยู่เป็นเพื่อนหน่อย,,"Does,anyone,sleep,friend"
143,มีใครยังไม่นอนมั้ย อยู่เป็นเพื่อนหน่อย,,"Does,anyone,sleep,friend"
144, เริ่มสถานะกันใหม่มั้ยหล่ะเริ่มเป็นเพื่อนกันใหม่อห กฟดกสดสฟฟสดสกสห  จิตใจทำด้วยอะไรร,"what,yes_no","status,Start,friend,Fresh,vegetables,mind"
145,จัดสวนจิ๋วอยู่ตรงไหนง่ะ หาม่ายเจออออ,where,"garden,widow"
146,การที่เขาบล็อคทุกอย่างของคุณมันก็คือคำตอบแล้ว คุณไม่ต้องกลับมาทำเขาช้ำใจอีกได้ไหม ทำได้รึเปล่า,yes_no,"fact,answer"
147,มีคนเคยบอกว่าให้ลองลดความหวังลง แล้วเราจะเจ็บน้อยลง คำถามคือมันจะเจ็บน้อยลงจริงหรือ,yes_no,"Someone,try,hope,question"
148,ใครบังอาจจ ,who,
149,เมื่อไหร่จะเลิกชอบซะที,"when,yes_no",
150,คนนี้มีแฟนยัง dektu บอกทีนะ อยากจีบสุดๆเลย เด็กคณะแพทย์โปรดบอก,,"person,girlfriend,dektu,Children,doctors"
151,สภาพหลังออกกำลังกาย ขอตายได้รึไม่ memer,,"Condition,exercise,Can,Memer"
152,ตื่นมาหยังวะ ,,
153,มีใครไปงานCat expo5 บ้างครับ ,,"Has,anyone,Cat,expo5"
154,คิดถึงนะกลับมาได้ไหม คิดถึงไหมกลับมาได้นะ,yes_no,Miss
155,ถ้าเราอยากกินหมูกะทะ เราจะมีเพื่อนไปกินหมูกะทะไหม,,"pork,pan,Will,friends,pork"
156,เบื่อตัวเองที่ต้องมาพ่ายแพ้ให้กับ ชาเขียวอีกแล้วววงื้อออออ จะผอมยังไงวะ,how,"Tired,Green,tea"
157,ลานพระบรมรูปทรงม้า ขยายเวลาวางเอกไม้จัน ไหมครับ,,"Horse,Extend,time,Ek,Mai,Chan"
158,คะแนนควิซเราต่ำจากมีนไป2คะแนนเลยอะ Tu11 ดรอปดีมะ ,,"quizzes,points,Tu11"
159,เฝ้ามองเพื่อนมีแฟนไปทีละคน เมื่อไรฟ้าจะประทานพรให้แจมบ้าง,"when,yes_no","friend,boyfriend,time,sky,bless"
160,ถ้า กัน เป็นแฟน ส้ม แล้ว ส้ม เป็นแฟนใคร,,"orange,fan,orange,fan"
161,ใครอยู่กล์อฟวิวม่างงงงงง,who,"Goft,Viewma"
162,วันนี้มีคนได้นั่งตะลัยไหมงะ,who,"Today,people"
163,บอกโอเคนะโอเคนะ เราไม่โอเคได้หรอเธอ,yes_no,"Okay,ok."
164,py228ง่ายจริงปะ,,py228
165,เราชอบภาษาเหนือ ช่วยเมตตาสอนน้องหน่อยได้มั้ยต้ะ แปลให้นุด้วยนะต้ะ,yes_no,language
166,จุดคัดกรองเต็มยังค่ะ,,"screening,point"
167,วันที่25 ถ้าไปถึงแถวสนามหลวงสักสี่ทุ่ม ด่านคัดกรองไหนคนน่าจะน้อยสุดครับ,"which,yes_no","day,Sanam,Luang,area,o'clock,Which,area"
168,ไปปล่อยกันมั้ยจ้ะ,,Go
169,รูปล่าสุดในมือถือของตัวเองเป็นรูปไหนกันนะ ,what,"image,mobile,phone"
170,มากินร้านนายพลมั้ยจ๊ะ5555555,,"Come,generals,shop,hahahahaha"
171,เฮียอยู่รถตู้สายมธ จตุจักร เฮียจะขอลงตรงเซนลาด แต่เฮียนั่งตรงในสุด หลืบสุด มุมรถเลย เฮียจะขอเค้าลงยังไงดีวะ เกรงใจสุดๆ หรือควรไปลงจตุจักรละนั่ง mrt ย้อนกลับมาเซนลาด ช่วยเฮียด้วยยย,yes_no,"Hia,Van,Mathat,Jatujakhei,van,Zen,Lat,top,car,corner,car"
172,ตลาดTU โดม วันนี้มีป่าวคะ,,"TU,Dome,Market,Today"
173,จักรวาลของฉันจะกว้างเกินกว่าฉันจะเจอดวงดาวของจักรวาลฉันรึป่าวนะ,yes_no,"stars,universe"
174,เป็นของเราคนเดียวได้ป้ะล่ะ,,
175,ทำไมวันนี้ Lynx คนเยอะมาก,why,"today,Lynx,lot,people"
176,ปากคล้ำจะรอดมะ TT,yes_no,"Dark,mouth,TT"
177,โดนบอกเลิกในวันครบรอบ 3 ปีตอนนี้เลิกกันได้เกือบ 2 เดือนแล้วแต่ก็ยังคุยกันบ้าง มาหากันบ้าง ทำทุกอย่างเกือบจะเหมือนเดิม เพียงแค่สถานะมันไม่เหมือนเดิมแต่ก็คงมีแค่เราที่ยังรู้สึกกับเขาเหมือนเดิมต้องรู้สึกยังไงกับการกระทำที่เขาทำแบบนี้อะ,how,"anniversary,year,months,time,everything,status,feels,actions"
178,ถ้าหายไป มันจะดีกว่าไหม,,
179,ถ้ามีเพื่อนอาจจะไม่สนิทมากมาขอยิมรหัสเฟส ไปส่องคนที่ชอบจะให้กันไหมอ่าา ขอความคิดเห็นเพื่อนๆหน่อย อยากรู้มากกกให้กันม่ะๆๆ,"who,yes_no","friend,ask,gym,Phase,code,Go,person,Ahh,Ask,friend,opinion,lot"
180,ใครมีความรู้กะกำลังใจไม่ใช้แล้ว มาลงขายได้ที่loxนะงับ ,who,"knowledge,encouragement,Come,lox"
181,ไหนๆ ใครอยู่หอแล้วมีปัญหาอะไรบ้าง มาแชร์กันนนน ชีวิตเด็กหอก็แบบนี้แหละ,who,"Anybody,tower,problems,share,life,children,tower"
182,โปรเจคที่รักหรือจะอยู่ต่ออีกซักปีดี,yes_no,"Dear,project,year"
183,อยากชมถ่ายทอดสด ช่วง22 คะ ทำไมไม่มีเลยคะ แจ้งหน่อยคร้าา,why,"Want,broadcasts"
184,จะดีมากถ้าจะ ช่วยอัฟเดตสถานะการณ์ จำนวนคน ภาพถ่าย ของแต่ละจุด เรื่อยๆได้มั๊ยคะ,yes_no,"status,number,people,photos,point"
185,รถตะลัยกับประชาธิปไตยอันไหนจะมาก่อนกันอะ เหนื่อยจะรอ,"which,yes_no","car,Tired"
186,การที่คนๆนึงเลือกที่จะหายไป ต้องเป็นคนยังไง ถึงทำร้ายคนรอคุยได้ขนาดนี้วะ คุณแม่งโคตรใจร้ายชะมัด,how,"fact,person,How,person,people,size,Mae,Kong,Kot"
187,ข้ามกลับฝั่งธนฯ เดินข้ามสะพานพระปิ่นกล้าฯ ได้มั้ย ต้องไปบริการปชช ที่ศิริราช,,"Skip,bank,Can,Phra,Pin,Klao,Bridge,Need,service,Siriraj"
188,เอาจริงนะมันเล่นยังไง งง,how,
189,พล ก้ำป่าวคืนนี้,,night
190,ตอนเย็นๆมีใครชอบวิ่งในมอบ้าง,who,"evening,people,streets"
191,ทำไมวันนี้มันเงียบแปลกๆ ,why,today
192,ใครเคยไปกินมั่งน่ากินมากเว่อร์,who,"eat,eat"
193,ใครมีคำแนะนำลดน้ำหนักมั้ยครับ ไม่ไหวกับตัวเองแล้ววววววววว,,"Does,anyone,loss,advice,Ca"
194,พี่อยู่ไหนอ่ะกลับมาได้ไหม ไม่มีใครคอยให้กำลังใจเลย หนูอยากได้กำลังใจมากๆเลยตอนนี้ คิดถึงพี่อ่ะ,where,"one,encouragement"
195,ถ้าขอซื้อกำลังใจนี่กี่บาทกันนะ,how,"lot,encouragement,baht"
196,พี่บอสเกษตรปี3นี่มีแฟนยังคะ,,"Brother,Boss,Kaset,year,girlfriend"
197,ทำไมเธอตอแหลเก่งจังเลยง่า,why,
198,เล่นไงหว่าาาา,how,
199,แต่งตัวยังไงให้เข้ากับตรุษจีน แชร์กันนนนนน,how,"Chinese,New,Year"
200,เวลาที่รู้สึกว่า มีแฟนก็เหมือนไม่มี จัดการกับตัวเองกันยังไงวะ,"how,when","fan,How"
201,พอเราจะถอยคุณก็กลับมา พอเรากลับไปหาคุณก็เดินหนี จะเอายังไง ,"how,when,yes_no",
202,ในนี้มีคนอายุ 25 ขึ้นมั้ย,,"anyone,years"
203,อยากให้มีร้านอะไรมาเปิดที่ยูสแควร์คอมเม้นเลยงับ,yes_no,"store,U,Square,Comments"
204,ชอบออเจ้าแบบไหน,what,"kind,love"
205,ร้านนี้อร่อยป่าวอะ ว่าจะกินหลายทีแล้วแต่ไม่กล้า,yes_no,"restaurant,times"
206,ดั้งจมูกที่สวย ในอุดมคติเป็นไงอะ,what,"Beautiful,ideal"
207,ทำไมคุณต้องใจร้ายกับเราด้วย ,why,
208,รู้อยู่แล้วใช่ไหมล่ะ,,
209,อ้าว แอพนี้เห็นรูปด้วยหรอ 555,,"app,picture"
210,ขอมองตาได้ไหม ในฐานะยายก็ได้,yes_no,"eyes,grandmother"
211,เพิ่งย้ายเข้าหอไปไหนไม่ถูกเลย ใครใจดีพาเที่ยวมั่งง ,"where,who","dormitory,kind,trip"
212,ข้าวไข่เจียวหน้ายิม 7 คนเยอะไหม,,"Omelette,rice,front,people,lot"
213,จุดคัดกรองท่าช้างตอนบ่ายนี้คิวเยอะมั๊ยคะ,how,"Tha,Chang,point,afternoon,queues"
214,สนามหลวงเต็มรึยัง,,"Sanam,Luang"
